Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2022,1,1,1,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-26.00,-29.40,71,101380,0,0,149,0,0,0,0,0,0,0,169,0.70,6,6,2566.0,0,9,999999999,1,0.0850,0,88,0.290,0.0,0.0
2022,1,1,2,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-26.40,-29.60,71,101352,0,0,151,0,0,0,0,0,0,0,170,0.80,6,6,2833.0,5254,9,999999999,1,0.0850,0,88,0.290,0.0,0.0
2022,1,1,3,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-26.70,-29.90,72,101325,0,0,154,0,0,0,0,0,0,0,96,0.80,6,6,3100.0,5791,9,999999999,1,0.0850,0,88,0.290,0.0,0.0
2022,1,1,4,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-26.10,-29.50,71,101261,0,0,155,0,0,0,0,0,0,0,156,1.10,6,6,6666.0,6311,9,999999999,1,0.0850,0,88,0.290,0.0,0.0
2022,1,1,5,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-25.50,-29.00,70,101198,0,0,153,0,0,0,0,0,0,0,145,1.50,6,6,6666.0,5920,9,999999999,1,0.0850,0,88,0.290,0.0,0.0
2022,1,1,6,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-24.90,-28.60,69,101134,0,0,159,0,0,0,0,0,0,0,119,1.80,6,6,6666.0,5555,9,999999999,1,0.0850,0,88,0.290,0.0,0.0
2022,1,1,7,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-22.70,-26.10,71,100516,0,0,160,0,0,0,0,0,0,0,135,1.80,6,6,6666.0,5845,9,999999999,1,0.0850,9,88,0.220,0.0,0.0
2022,1,1,8,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,-20.40,-23.70,73,99897,106,722,166,0,0,0,0,0,0,0,132,1.80,6,6,6666.0,6229,9,999999999,1,0.0850,9,88,0.220,0.0,0.0
2022,1,1,9,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9*9*9,-24.40,-28.70,65,100972,280,1415,176,50,96,36,10611,16297,9725,5291,95,2.20,5,5,5000.0,6011,9,999999999,1,0.0850,0,88,0.220,0.0,0.0
2022,1,1,10,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-22.90,-27.80,62,100866,408,1415,174,132,214,89,18624,21604,15586,7971,123,2.80,4,4,6366.0,2589,9,999999999,1,0.0850,11,88,0.220,0.0,0.0
2022,1,1,11,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-21.50,-26.80,59,100761,480,1415,186,188,198,133,22420,16063,18372,8987,122,3.30,4,4,7733.0,1471,9,999999999,1,0.0850,11,88,0.220,0.0,0.0
2022,1,1,12,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-20.00,-25.90,56,100655,493,1415,207,193,104,159,20975,8179,18207,8942,90,3.90,3,3,9100.0,1298,9,999999999,1,0.0850,6,88,0.220,0.0,0.0
2022,1,1,13,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-19.60,-25.40,56,100541,444,1415,224,163,47,147,16060,3765,14804,7858,119,4.20,3,3,9466.0,1171,9,999999999,1,0.0850,4,88,0.230,0.0,0.0
2022,1,1,14,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-19.10,-24.90,57,100427,338,1415,236,107,23,99,10257,1551,9872,6108,113,4.50,4,4,9833.0,1040,9,999999999,1,0.0850,2,88,0.230,0.1,0.0
2022,1,1,15,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9*9*9,-18.70,-24.40,57,100313,181,1415,244,68,6,67,6502,951,6467,5131,71,4.80,4,4,9833.0,939,9,999999999,1,0.0850,0,88,0.240,0.1,0.0
2022,1,1,16,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-19.10,-24.10,62,100316,0,1307,239,42,0,41,3367,981,3332,3087,98,4.10,4,4,7633.0,643,9,999999999,1,0.0850,1,88,0.250,0.1,0.0
2022,1,1,17,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-19.40,-23.70,66,100320,0,0,234,10,0,9,679,327,679,617,62,3.40,5,5,5066.0,467,9,999999999,1,0.0850,5,88,0.260,0.1,0.0
2022,1,1,18,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-19.80,-23.40,70,100324,0,0,237,0,0,0,0,0,0,0,38,2.70,6,6,2500.0,431,0,999099999,1,0.0850,0,88,0.270,0.2,0.0
2022,1,1,19,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-19.80,-23.30,72,100327,0,0,233,0,0,0,0,0,0,0,339,2.50,6,6,2633.0,485,9,999999999,1,0.0850,6,88,0.380,0.2,0.0
2022,1,1,20,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-19.90,-23.10,73,100330,0,0,233,0,0,0,0,0,0,0,322,2.40,6,6,2766.0,459,9,999999999,1,0.0850,9,88,0.380,0.1,0.0
2022,1,1,21,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-19.90,-23.00,74,100333,0,0,223,0,0,0,0,0,0,0,301,2.20,6,6,2900.0,922,0,999099999,1,0.0850,0,88,0.390,0.1,0.0
2022,1,1,22,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-20.50,-23.50,75,100343,0,0,209,0,0,0,0,0,0,0,295,2.10,7,7,4016.0,2088,9,999999999,1,0.0850,11,88,0.390,0.0,0.0
2022,1,1,23,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-21.00,-24.00,75,100353,0,0,195,0,0,0,0,0,0,0,283,2.00,7,7,5133.0,2890,9,999999999,1,0.0850,9,88,0.390,0.0,0.0
2022,1,1,24,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-21.60,-24.50,76,100363,0,0,169,0,0,0,0,0,0,0,273,1.90,7,7,6250.0,77777,9,999999999,1,0.0850,8,88,0.390,0.0,0.0
2022,1,2,1,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-22.20,-24.90,76,100373,0,0,152,0,0,0,0,0,0,0,261,1.80,3,7,7366.0,77777,9,999999999,1,0.0840,7,88,0.390,0.0,0.0
2022,1,2,2,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-22.70,-25.40,77,100383,0,0,150,0,0,0,0,0,0,0,255,1.70,0,7,8483.0,77777,9,999999999,1,0.0840,6,88,0.390,0.0,0.0
2022,1,2,3,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-23.30,-25.90,77,100393,0,0,150,0,0,0,0,0,0,0,215,1.60,0,7,9600.0,77777,0,999099999,1,0.0840,6,88,0.390,0.0,0.0
2022,1,2,4,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-23.00,-26.00,74,100373,0,0,148,0,0,0,0,0,0,0,266,2.10,0,6,9600.0,77777,9,999999999,1,0.0840,6,88,0.390,0.0,0.0
2022,1,2,5,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-22.80,-26.20,71,100352,0,0,147,0,0,0,0,0,0,0,267,2.70,0,6,9600.0,77777,9,999999999,1,0.0840,5,88,0.390,0.0,0.0
2022,1,2,6,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-22.50,-26.30,69,100331,0,0,147,0,0,0,0,0,0,0,230,3.20,0,6,9600.0,77777,0,999099999,1,0.0840,5,88,0.390,0.0,0.0
2022,1,2,7,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-22.10,-25.60,71,100491,0,0,147,0,0,0,0,0,0,0,260,2.60,0,6,9600.0,77777,9,999999999,1,0.0840,10,88,0.610,0.0,0.0
2022,1,2,8,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-21.80,-24.90,73,100651,107,722,148,0,0,0,0,0,0,0,259,1.90,0,6,7233.0,77777,9,999999999,1,0.0840,11,88,0.610,0.0,0.0
2022,1,2,9,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-22.40,-26.30,68,100332,281,1415,149,67,262,27,13226,44087,5728,3278,211,1.70,0,5,7233.0,77777,9,999999999,1,0.0840,0,88,0.610,0.0,0.0
2022,1,2,10,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-19.70,-24.60,62,100327,409,1415,151,183,611,58,24833,68251,8935,4392,260,1.80,10,4,7233.0,77777,9,999999999,1,0.0840,12,88,0.610,0.0,0.0
