Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2018,1,1,1,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.10,4.70,85,101155,0,0,265,0,0,0,0,0,0,0,20,4.00,3,3,6000.0,77777,0,919999999,16,0.0850,0,88,0.100,0.0,0.0
2018,1,1,2,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.40,5.00,66,101155,0,0,262,0,0,0,0,0,0,0,20,4.00,0,0,6000.0,77777,0,919999999,16,0.0850,0,88,0.100,0.0,0.0
2018,1,1,3,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.40,4.40,87,102486,0,0,261,0,0,0,0,0,0,0,360,2.00,0,0,4800.0,240,0,919999999,16,0.0850,0,88,0.100,0.0,0.0
2018,1,1,4,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.50,5.00,71,101154,0,0,264,0,0,0,0,0,0,0,20,5.00,0,0,5000.0,77777,0,919999999,16,0.0850,0,88,0.100,0.0,0.0
2018,1,1,5,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.90,4.30,89,101154,0,0,267,0,0,0,0,0,0,0,20,4.00,0,0,5000.0,77777,0,919999999,15,0.0850,0,88,0.100,0.0,0.0
2018,1,1,6,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.90,0.60,69,102486,0,0,264,0,0,0,0,0,0,0,340,2.00,0,0,4400.0,240,0,919999999,11,0.0850,0,88,0.100,0.0,0.0
2018,1,1,7,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.00,4.00,71,101153,28,130,266,0,0,0,0,0,0,0,360,3.00,3,3,5000.0,972,0,919999999,15,0.0850,0,88,0.100,0.0,0.0
2018,1,1,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.80,4.20,89,101154,313,1415,260,0,0,0,0,0,0,0,360,3.00,5,5,4000.0,784,0,919999999,15,0.0850,0,88,0.100,0.0,0.0
2018,1,1,9,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,8.50,3.20,69,102576,559,1415,268,151,380,61,25328,45964,10934,3830,290,2.00,9,9,4100.0,712,9,999999999,14,0.0850,0,88,0.100,0.0,0.0
2018,1,1,10,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.30,3.00,58,101155,751,1415,273,309,513,103,42001,56433,16330,4498,360,3.00,9,9,5000.0,1524,9,999999999,13,0.0850,0,88,0.100,0.0,0.0
