Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2021,1,1,1,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.40,-7.00,55,88039,0,0,291,0,0,0,0,0,0,0,40,3.00,10,10,777.7,1097,9,999999999,4,0.0850,0,88,0.130,0.0,0.0
2021,1,1,2,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.30,-7.40,59,89835,0,0,294,0,0,0,0,0,0,0,10,2.00,10,10,777.7,937,9,999999999,4,0.0850,0,88,0.130,0.0,0.0
2021,1,1,3,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.50,-6.00,66,87994,0,0,289,0,0,0,0,0,0,0,50,3.00,10,10,777.7,1097,9,999999999,5,0.0850,0,88,0.130,0.0,0.0
2021,1,1,4,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.30,-5.00,71,87994,0,0,297,0,0,0,0,0,0,0,40,3.00,10,10,777.7,1097,9,999999999,5,0.0850,0,88,0.130,0.0,0.0
2021,1,1,5,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.40,-5.10,76,89690,0,0,289,0,0,0,0,0,0,0,130,1.00,9,9,9000.0,1587,9,999999999,5,0.0850,0,88,0.130,0.0,0.0
2021,1,1,6,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-1.00,-5.00,71,87994,0,0,284,0,0,0,0,0,0,0,40,1.00,9,9,9000.0,1097,9,999999999,5,0.0850,0,88,0.120,0.0,0.0
2021,1,1,7,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-5.00,71,87994,0,0,288,0,0,0,0,0,0,0,50,2.00,6,6,9900.0,1589,9,999999999,5,0.0850,0,88,0.120,0.0,0.0
2021,1,1,8,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-1.40,-4.60,76,89700,70,331,284,27,40,21,8570,10152,7528,4685,30,2.00,7,7,6000.0,1695,9,999999999,6,0.0850,0,88,0.120,0.0,0.0
2021,1,1,9,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-1.00,-5.00,71,87994,349,1415,269,117,154,72,20974,21011,14997,6743,351,1.00,10,10,6000.0,1402,9,999999999,5,0.0850,0,88,0.120,0.0,0.0
2021,1,1,10,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,1.60,-4.00,72,88039,586,1415,289,235,252,130,34168,30128,20235,6855,352,1.00,10,10,8000.0,1402,9,999999999,6,0.0850,0,88,0.120,0.0,0.0
