Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2013,1,1,1,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,14.50,9.30,71,101491,0,0,340,0,0,0,0,0,0,0,59,2.00,6,6,777.7,921,9,999999999,25,0.0850,0,88,0.090,0.0,0.0
2013,1,1,2,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,14.70,9.90,73,101471,0,0,352,0,0,0,0,0,0,0,70,2.00,9,9,777.7,420,9,999999999,26,0.0850,0,88,0.090,0.0,0.0
2013,1,1,3,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,16.10,11.90,76,101425,0,0,368,0,0,0,0,0,0,0,52,1.80,7,7,777.7,1130,9,999999999,32,0.0850,0,88,0.090,0.0,0.0
2013,1,1,4,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,17.60,13.90,79,101380,0,0,372,0,0,0,0,0,0,0,48,1.70,7,7,777.7,1283,9,999999999,39,0.0850,0,88,0.090,0.0,0.0
2013,1,1,5,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,19.00,15.90,82,101334,0,0,374,0,0,0,0,0,0,0,49,1.50,8,8,777.7,954,9,999999999,47,0.0850,0,88,0.090,0.0,0.0
2013,1,1,6,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,16.00,13.40,85,101289,0,0,368,0,0,0,0,0,0,0,52,1.30,8,8,777.7,1167,9,999999999,37,0.0850,0,88,0.090,0.0,0.0
2013,1,1,7,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,16.00,10.60,70,101243,0,0,360,0,0,0,0,0,0,0,53,1.20,6,6,777.7,1004,9,999999999,28,0.0850,0,88,0.090,0.0,0.0
2013,1,1,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,15.80,11.00,73,101553,216,981,351,71,103,41,15108,17417,11208,5546,70,4.00,9,9,777.7,900,9,999999999,29,0.0850,0,88,0.090,0.0,0.0
2013,1,1,9,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,16.30,10.60,69,101583,501,1415,354,183,237,97,26511,22733,18893,6662,55,4.30,6,6,777.7,774,9,999999999,28,0.0850,0,88,0.090,0.0,0.0
2013,1,1,10,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,16.80,10.10,65,101614,738,1415,361,273,220,163,33789,17484,24935,7142,53,4.70,5,5,777.7,808,9,999999999,27,0.0850,0,88,0.090,0.0,0.0
