Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2010,1,1,1,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,2.00,-4.00,62,101237,0,0,232,0,0,0,0,0,0,0,90,1.00,0,0,5000.0,77777,9,999999999,7,0.0850,0,88,0.100,0.0,0.0
2010,1,1,2,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,1.20,-5.00,57,101237,0,0,229,0,0,0,0,0,0,0,100,2.00,0,0,5000.0,77777,9,999999999,6,0.0850,0,88,0.100,0.0,0.0
2010,1,1,3,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.60,-4.90,62,102361,0,0,228,0,0,0,0,0,0,0,220,1.00,0,0,8000.0,77777,9,999999999,6,0.0850,0,88,0.100,0.0,0.0
2010,1,1,4,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.00,-5.00,66,101236,0,0,227,0,0,0,0,0,0,0,172,0.00,0,0,3000.0,77777,9,999999999,6,0.0850,0,88,0.100,0.0,0.0
2010,1,1,5,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.00,-4.00,72,101236,0,0,227,0,0,0,0,0,0,0,179,0.00,0,0,2500.0,77777,9,999999999,7,0.0850,0,88,0.100,0.0,0.0
2010,1,1,6,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-0.20,-3.90,73,102220,0,0,227,0,0,0,0,0,0,0,200,2.00,0,0,5000.0,77777,9,999999999,7,0.0850,0,88,0.100,0.0,0.0
2010,1,1,7,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-5.00,71,101236,0,0,225,0,0,0,0,0,0,0,240,1.00,0,0,2500.0,77777,9,999999999,6,0.0850,0,88,0.100,0.0,0.0
2010,1,1,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-4.00,78,101236,271,1409,226,0,0,0,0,0,0,0,188,0.00,0,0,3000.0,77777,9,999999999,7,0.0850,0,88,0.100,0.0,0.0
2010,1,1,9,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.20,-3.20,75,102201,506,1415,228,145,441,52,24269,54519,9331,3398,200,2.00,0,0,4000.0,77777,9,999999999,7,0.0850,0,88,0.100,0.0,0.0
2010,1,1,10,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.70,-4.00,62,101237,687,1415,233,315,628,87,40766,69373,12797,3543,176,1.00,0,0,2300.0,77777,9,999999999,7,0.0850,0,88,0.100,0.0,0.0
2010,1,1,11,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.70,-6.00,45,101238,802,1415,241,462,740,104,53393,77139,14439,3389,173,0.00,0,0,2300.0,77777,9,999999999,5,0.0850,0,88,0.100,0.0,0.0
2010,1,1,12,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.00,-3.90,47,102103,844,1415,245,555,788,112,60008,80169,15176,3455,180,2.00,0,0,5000.0,77777,9,999999999,7,0.0850,0,88,0.100,0.0,0.0
2010,1,1,13,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,8.00,-1.80,50,101239,809,1415,254,588,800,115,60244,80144,15130,3920,187,1.00,0,0,3000.0,77777,9,999999999,8,0.0850,0,88,0.100,0.0,0.0
2010,1,1,14,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,8.00,-3.00,44,101239,700,1415,258,560,788,113,50297,64849,15206,5904,179,1.00,0,0,1700.0,77777,9,999999999,7,0.0850,0,88,0.100,0.0,0.0
2010,1,1,15,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,8.90,-3.00,42,101794,524,1415,263,377,487,124,30623,31879,15324,8831,180,1.00,0,0,6000.0,3600,9,999999999,7,0.0850,0,88,0.100,0.0,0.0
2010,1,1,16,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,9.00,-2.30,45,101239,294,1415,316,159,132,106,13296,9347,11091,8547,70,2.00,0,0,2500.0,77777,9,999999999,8,0.0850,0,88,0.100,0.0,0.0
2010,1,1,17,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,8.00,-1.20,52,101239,24,1415,328,55,50,43,4175,3477,4126,4036,80,2.00,0,0,2500.0,77777,9,999999999,9,0.0850,0,88,0.100,0.0,0.0
2010,1,1,18,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,8.30,-1.80,49,101764,0,119,328,9,0,7,578,928,578,553,200,1.00,0,0,4000.0,1500,0,919999999,8,0.0850,0,88,0.100,0.0,0.0
2010,1,1,19,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,8.00,0.00,57,101239,0,0,323,0,0,0,0,0,0,0,195,1.00,0,0,2000.0,77777,0,919999999,10,0.0850,0,88,0.100,0.1,0.0
2010,1,1,20,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,1.10,66,101239,0,0,335,0,0,0,0,0,0,0,90,1.00,5,5,2000.0,77777,0,919999999,11,0.0850,0,88,0.100,0.2,0.0
2010,1,1,21,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.90,3.10,82,101843,0,0,335,0,0,0,0,0,0,0,200,2.00,5,5,3000.0,77777,0,919999999,14,0.0850,0,88,0.100,0.3,0.0
2010,1,1,22,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,3.00,76,101239,0,0,335,0,0,0,0,0,0,0,230,1.00,5,5,1600.0,77777,0,919999999,13,0.0850,0,88,0.100,0.4,0.0
2010,1,1,23,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,1.90,70,101239,0,0,338,0,0,0,0,0,0,0,210,1.00,5,5,1600.0,77777,0,919999999,12,0.0850,0,88,0.100,0.3,0.0
2010,1,1,24,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.70,3.80,82,101753,0,0,339,0,0,0,0,0,0,0,220,4.00,10,10,3000.0,1200,0,919999999,14,0.0850,0,88,0.100,0.2,0.0
2010,1,2,1,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,6.80,3.50,79,101496,0,0,338,0,0,0,0,0,0,0,193,2.00,7,7,2300.0,1162,9,999999999,14,0.0840,0,88,0.100,0.2,0.0
2010,1,2,2,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,3.10,76,101239,0,0,337,0,0,0,0,0,0,0,199,0.00,5,5,1600.0,77777,0,919999999,13,0.0840,0,88,0.100,0.2,0.0
2010,1,2,3,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.50,3.20,74,101713,0,0,338,0,0,0,0,0,0,0,220,3.00,10,10,3000.0,77777,0,919999999,14,0.0840,0,88,0.100,0.2,0.0
2010,1,2,4,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,4.00,81,101239,0,0,341,0,0,0,0,0,0,0,210,1.00,5,5,2000.0,77777,0,919999999,15,0.0840,0,88,0.100,0.1,0.0
2010,1,2,5,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,3.10,76,101239,0,0,337,0,0,0,0,0,0,0,220,2.00,5,5,2000.0,77777,0,919999999,13,0.0840,0,88,0.100,0.1,0.0
2010,1,2,6,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,4.10,82,101733,0,0,336,0,0,0,0,0,0,0,360,1.00,5,5,2000.0,77777,0,919999999,15,0.0840,0,88,0.100,0.1,0.0
2010,1,2,7,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,3.10,76,101239,0,0,321,0,0,0,0,0,0,0,220,2.00,5,5,2000.0,77777,0,919999999,13,0.0840,0,88,0.100,0.0,0.0
2010,1,2,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,3.10,76,101239,270,1404,312,0,0,0,0,0,0,0,220,1.00,0,0,2000.0,77777,0,919999999,13,0.0840,0,88,0.100,0.0,0.0
2010,1,2,9,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,4.70,85,101873,505,1415,306,101,243,49,20440,34727,9583,3787,360,1.00,0,0,3000.0,77777,9,999999999,16,0.0840,0,88,0.100,0.0,0.0
2010,1,2,10,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,9.00,4.00,71,101239,687,1415,288,251,423,92,37589,54493,13512,4262,274,0.00,0,0,2000.0,77777,9,999999999,15,0.0840,0,88,0.100,0.0,0.0
2010,1,2,11,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,10.00,4.00,66,101239,803,1415,283,420,631,111,53120,71405,15087,4121,297,2.00,0,0,3000.0,77777,9,999999999,15,0.0840,0,88,0.100,0.0,0.0
2010,1,2,12,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,11.60,5.70,67,101844,845,1415,277,542,756,116,60789,79173,15511,3819,90,1.00,0,0,3000.0,77777,9,999999999,17,0.0840,0,88,0.100,0.0,0.0
2010,1,2,13,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,12.00,4.00,58,101240,811,1415,278,585,790,116,60659,80376,15164,3926,305,2.00,0,0,4000.0,77777,9,999999999,15,0.0840,0,88,0.100,0.0,0.0
