Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2023,1,1,1,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,2.30,1.90,97,96902,0,0,277,0,0,0,0,0,0,0,212,0.30,10,10,5333.0,1395,9,999999999,12,0.0850,0,88,0.110,0.1,0.0
2023,1,1,2,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,3.30,0.00,79,96843,0,0,295,0,0,0,0,0,0,0,216,0.00,7,7,5000.0,1359,9,999999999,10,0.0850,0,88,0.110,0.1,0.0
2023,1,1,3,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,3.30,3.20,99,96822,0,0,286,0,0,0,0,0,0,0,217,0.30,10,10,5333.0,1077,9,999999999,13,0.0850,0,88,0.120,0.1,0.0
2023,1,1,4,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,2.40,2.10,98,96801,0,0,288,0,0,0,0,0,0,0,223,0.70,10,10,5666.0,1074,9,999999999,12,0.0850,0,88,0.120,0.2,0.0
2023,1,1,5,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,2.70,2.30,97,96780,0,0,302,0,0,0,0,0,0,0,70,1.00,10,10,6000.0,779,9,999999999,12,0.0850,0,88,0.120,0.2,0.0
2023,1,1,6,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,2.50,1.80,95,96658,0,0,301,0,0,0,0,0,0,0,244,1.00,10,10,8000.0,606,9,999999999,11,0.0850,0,88,0.120,0.3,0.0
2023,1,1,7,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,3.00,1.90,93,96536,0,0,300,0,0,0,0,0,0,0,315,1.00,10,10,8000.0,483,9,999999999,12,0.0850,0,88,0.120,0.4,0.0
2023,1,1,8,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,2.20,1.90,98,96985,2,8,305,0,0,0,0,0,0,0,100,1.00,10,10,5000.0,414,0,919999999,12,0.0850,0,88,0.130,0.3,0.0
2023,1,1,9,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,2.70,2.30,97,97031,262,1415,300,32,19,29,6337,2868,5704,2618,45,1.00,10,10,5000.0,365,9,999999999,12,0.0850,0,88,0.130,0.3,0.0
2023,1,1,10,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,3.20,2.50,95,97076,484,1415,306,65,37,51,10269,4376,8758,3031,49,1.00,10,10,5000.0,236,9,999999999,12,0.0850,0,88,0.130,0.4,0.0
