Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2019,1,1,1,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-4.90,-12.30,56,101347,0,0,199,0,0,0,0,0,0,0,139,2.00,0,3,777.7,77777,9,999999999,3,0.0850,0,88,0.160,0.0,0.0
2019,1,1,2,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-5.30,-11.80,60,101336,0,0,199,0,0,0,0,0,0,0,144,2.00,0,4,777.7,77777,9,999999999,3,0.0850,0,88,0.160,0.0,0.0
2019,1,1,3,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-5.70,-12.00,61,101326,0,0,198,0,0,0,0,0,0,0,140,2.00,0,4,777.7,77777,9,999999999,3,0.0850,0,88,0.160,0.0,0.0
2019,1,1,4,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-5.90,-12.20,61,101294,0,0,196,0,0,0,0,0,0,0,152,1.70,0,4,777.7,77777,9,999999999,3,0.0850,0,88,0.160,0.0,0.0
2019,1,1,5,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-6.20,-11.60,65,101262,0,0,196,0,0,0,0,0,0,0,155,1.30,0,5,777.7,77777,9,999999999,3,0.0850,0,88,0.160,0.0,0.0
2019,1,1,6,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-6.40,-11.90,65,101231,0,0,195,0,0,0,0,0,0,0,140,1.00,0,5,777.7,77777,9,999999999,3,0.0850,0,88,0.160,0.0,0.0
2019,1,1,7,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-3.00,-10.50,52,100622,0,0,195,0,0,0,0,0,0,0,161,1.30,0,3,777.7,77777,9,999999999,3,0.0850,0,88,0.160,0.0,0.0
2019,1,1,8,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,0.30,-5.20,63,100013,130,711,194,0,0,0,0,0,0,0,162,1.70,0,5,777.7,77777,9,999999999,6,0.0850,0,88,0.160,0.0,0.0
2019,1,1,9,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-6.40,-12.10,64,101338,356,1415,194,72,222,31,14834,37986,6878,3230,110,2.00,3,3,777.7,77777,9,999999999,3,0.0850,0,88,0.160,0.0,0.0
2019,1,1,10,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-4.40,-10.00,65,101345,536,1415,196,209,529,71,29172,60853,10908,4020,200,1.70,2,5,777.7,77777,9,999999999,4,0.0850,0,88,0.160,0.0,0.0
