Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2013,1,1,1,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-12.00,-20.00,51,84838,0,0,176,0,0,0,0,0,0,0,330,5.00,0,3,9900.0,77777,9,999999999,1,0.0850,1,88,0.300,0.0,0.0
2013,1,1,2,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-14.00,-22.80,47,84724,0,0,176,0,0,0,0,0,0,0,330,4.00,0,2,9900.0,77777,9,999999999,1,0.0850,1,88,0.300,0.0,0.0
2013,1,1,3,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-15.00,-24.70,43,84666,0,0,176,0,0,0,0,0,0,0,310,2.00,0,1,9000.0,77777,9,999999999,1,0.0850,1,88,0.300,0.0,0.0
2013,1,1,4,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-15.00,-26.70,36,84666,0,0,175,0,0,0,0,0,0,0,310,2.00,0,0,7000.0,77777,9,999999999,1,0.0850,1,88,0.300,0.0,0.0
2013,1,1,5,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-15.00,-27.00,35,84666,0,0,175,0,0,0,0,0,0,0,330,3.00,0,0,7000.0,77777,9,999999999,1,0.0850,1,88,0.300,0.0,0.0
2013,1,1,6,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-15.80,-26.80,38,85651,0,0,174,0,0,0,0,0,0,0,347,0.00,0,0,7000.0,77777,9,999999999,1,0.0850,1,88,0.300,0.0,0.0
2013,1,1,7,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-14.00,-24.90,39,84724,0,0,174,0,0,0,0,0,0,0,320,4.00,0,1,9900.0,77777,9,999999999,1,0.0850,1,88,0.300,0.0,0.0
2013,1,1,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-15.00,-25.50,40,84666,0,0,174,0,0,0,0,0,0,0,300,3.00,0,0,7000.0,77777,9,999999999,1,0.0850,1,88,0.300,0.0,0.0
2013,1,1,9,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-14.90,-26.00,38,85821,0,0,174,92,0,25,17654,54338,4989,5475,270,1.00,1,1,8000.0,77777,9,999999999,1,0.0850,1,88,0.300,0.0,0.0
2013,1,1,10,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-11.00,-24.00,33,84895,0,0,176,239,0,49,32595,81330,7397,7085,320,2.00,0,0,9900.0,77777,9,999999999,1,0.0850,1,88,0.300,0.0,0.0
