Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2018,1,1,1,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-13.00,-23.20,42,78934,0,0,178,0,0,0,0,0,0,0,320,2.00,0,1,777.7,77777,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,2,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-13.00,-23.20,42,78934,0,0,177,0,0,0,0,0,0,0,330,3.00,0,1,777.7,77777,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,3,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-13.00,-23.20,42,78934,0,0,177,0,0,0,0,0,0,0,330,3.00,0,1,777.7,77777,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,4,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-16.00,-25.10,45,78710,0,0,177,0,0,0,0,0,0,0,320,3.00,0,2,777.7,77777,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,5,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-15.00,-25.00,42,78785,0,0,177,0,0,0,0,0,0,0,320,3.00,0,1,777.7,77777,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,6,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-15.00,-24.50,44,78785,0,0,176,0,0,0,0,0,0,0,330,3.00,0,1,777.7,77777,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,7,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-14.00,-23.80,43,78860,0,0,176,0,0,0,0,0,0,0,330,3.00,0,1,777.7,77777,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,8,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-16.00,-25.40,44,78710,0,0,175,0,0,0,0,0,0,0,330,2.00,0,1,9900.0,77777,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,9,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-14.00,-23.80,43,78860,157,869,175,97,305,32,18647,50727,6374,4121,340,2.00,0,1,9900.0,77777,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,10,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-9.00,-24.50,27,79226,380,1415,178,254,700,62,34462,77139,9416,4495,358,1.00,0,0,9900.0,77777,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,11,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-6.00,-21.50,28,79440,554,1415,181,401,828,78,47276,86431,11036,4148,45,1.00,0,0,9900.0,77777,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,12,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-3.00,-16.00,32,79650,668,1415,185,500,884,86,54443,89259,12184,3963,170,2.00,0,0,9900.0,77777,9,999999999,2,0.0850,0,88,0.270,0.0,0.0
2018,1,1,13,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-15.00,29,79788,714,1415,190,537,884,95,55020,87845,12960,4130,81,1.00,0,0,9900.0,77777,9,999999999,2,0.0850,0,88,0.270,0.0,0.0
2018,1,1,14,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,0.00,-14.00,32,79788,689,1415,195,511,856,98,49350,84562,12377,4394,150,2.00,0,0,9900.0,77777,9,999999999,2,0.0850,0,88,0.270,0.0,0.0
2018,1,1,15,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,0.10,-13.00,32,79856,594,1415,195,429,819,87,38184,77669,10486,4629,86,1.00,0,0,9900.0,77777,9,999999999,2,0.0850,0,88,0.270,0.0,0.0
2018,1,1,16,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,0.30,-15.00,27,79856,437,1415,194,296,719,70,22952,62797,7567,4480,100,2.00,0,0,9900.0,77777,9,999999999,2,0.0850,0,88,0.270,0.0,0.0
2018,1,1,17,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.30,-13.00,32,79856,227,1415,196,135,525,42,8774,36840,3686,2942,120,2.00,0,0,8000.0,77777,9,999999999,2,0.0850,0,88,0.270,0.0,0.0
2018,1,1,18,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-2.00,-12.00,42,79719,0,1298,196,27,0,11,1484,10353,809,842,70,2.00,0,0,7000.0,77777,9,999999999,3,0.0850,0,88,0.270,0.0,0.0
2018,1,1,19,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-4.00,-14.00,41,79581,0,0,194,0,0,0,0,0,0,0,40,3.00,3,1,9900.0,77777,9,999999999,2,0.0850,0,88,0.270,0.0,0.0
2018,1,1,20,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-6.00,-20.30,31,79440,0,0,194,0,0,0,0,0,0,0,30,2.00,0,0,9900.0,77777,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,21,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-6.00,-19.00,31,79440,0,0,204,0,0,0,0,0,0,0,20,3.00,0,0,9900.0,985,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,22,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-8.00,-18.00,40,79298,0,0,208,0,0,0,0,0,0,0,330,2.00,1,1,9900.0,934,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,23,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-10.00,-23.90,31,79154,0,0,235,0,0,0,0,0,0,0,320,2.00,0,0,9900.0,1015,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,1,24,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-8.00,-22.10,31,79298,0,0,249,0,0,0,0,0,0,0,50,2.00,5,5,9900.0,1047,9,999999999,1,0.0850,0,88,0.270,0.0,0.0
2018,1,2,1,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-7.00,-18.00,37,79369,0,0,269,0,0,0,0,0,0,0,70,2.00,5,5,9900.0,951,9,999999999,1,0.0840,0,88,0.270,0.0,0.0
2018,1,2,2,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-6.00,-18.00,34,79440,0,0,269,0,0,0,0,0,0,0,50,2.00,10,10,9900.0,1402,9,999999999,1,0.0840,0,88,0.270,0.0,0.0
2018,1,2,3,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-6.00,-18.00,34,79440,0,0,266,0,0,0,0,0,0,0,46,1.00,10,10,9900.0,1402,9,999999999,1,0.0840,0,88,0.270,0.0,0.0
2018,1,2,4,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-7.00,-18.00,37,79369,0,0,267,0,0,0,0,0,0,0,60,2.00,10,10,9900.0,1402,9,999999999,1,0.0840,0,88,0.270,0.0,0.0
2018,1,2,5,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-7.00,-18.00,37,79369,0,0,267,0,0,0,0,0,0,0,80,2.00,10,10,9900.0,1402,9,999999999,1,0.0840,0,88,0.270,0.0,0.0
2018,1,2,6,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-7.00,-18.00,37,79369,0,0,260,0,0,0,0,0,0,0,46,1.00,10,10,9900.0,1402,9,999999999,1,0.0840,0,88,0.270,0.0,0.0
2018,1,2,7,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-7.00,-18.00,37,79369,0,0,260,0,0,0,0,0,0,0,47,1.00,10,10,9900.0,1402,9,999999999,1,0.0840,0,88,0.280,0.1,0.0
2018,1,2,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-7.00,-18.00,37,79369,0,0,255,0,0,0,0,0,0,0,20,2.00,10,10,9900.0,1402,9,999999999,1,0.0840,0,88,0.280,0.1,0.0
2018,1,2,9,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-7.00,-17.00,41,79369,157,866,254,42,10,40,9443,2052,8939,5170,10,2.00,10,10,9900.0,1402,9,999999999,2,0.0840,1,88,0.290,0.2,0.0
2018,1,2,10,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-5.00,-14.00,49,79511,380,1415,257,110,29,101,18218,4722,16453,7643,40,3.00,9,9,9900.0,1402,9,999999999,2,0.0840,1,88,0.300,0.3,0.0
2018,1,2,11,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-5.00,-13.50,51,79511,554,1415,260,193,60,169,25933,7490,22501,8919,70,3.00,9,9,9900.0,1402,9,999999999,2,0.0840,1,88,0.310,0.3,0.0
2018,1,2,12,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-4.00,-12.40,52,79581,669,1415,261,247,81,210,30400,10914,25004,8859,70,3.00,9,9,9900.0,1402,9,999999999,2,0.0840,1,88,0.330,0.3,0.0
2018,1,2,13,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-3.00,-11.40,52,79650,716,1415,262,275,124,213,33611,15649,25853,8801,40,3.00,9,9,9900.0,1402,9,999999999,3,0.0840,2,88,0.340,0.3,0.0
2018,1,2,14,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-3.00,-11.40,52,79650,691,1415,258,305,169,222,32234,17174,24311,8919,60,2.00,3,3,9900.0,652,9,999999999,3,0.0840,2,88,0.350,0.2,0.0
2018,1,2,15,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-2.00,-10.50,52,79719,597,1415,256,247,152,182,23656,14957,18840,8184,66,2.00,3,3,9900.0,643,9,999999999,3,0.0840,2,88,0.360,0.2,0.0
2018,1,2,16,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-3.00,-13.00,42,79650,440,1415,256,147,130,106,13530,13742,12185,6704,110,2.00,1,1,9900.0,602,9,999999999,2,0.0840,2,88,0.360,0.2,0.0
