Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2014,1,1,1,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-4.80,-16.90,34,64832,0,0,166,0,0,0,0,0,0,0,170,1.00,0,0,777.7,77777,9,999999999,1,0.0850,3,88,0.260,0.0,0.0
2014,1,1,2,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-5.40,-17.00,35,64766,0,0,165,0,0,0,0,0,0,0,165,1.20,0,0,777.7,77777,9,999999999,1,0.0850,3,88,0.260,0.0,0.0
2014,1,1,3,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-6.10,-17.10,37,64700,0,0,165,0,0,0,0,0,0,0,153,1.30,1,0,777.7,77777,9,999999999,1,0.0850,3,88,0.260,0.0,0.0
2014,1,1,4,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-6.70,-17.20,39,64634,0,0,163,0,0,0,0,0,0,0,148,1.50,0,1,777.7,77777,9,999999999,1,0.0850,3,88,0.260,0.0,0.0
2014,1,1,5,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-6.60,-16.80,40,64645,0,0,163,0,0,0,0,0,0,0,134,1.30,0,1,777.7,77777,9,999999999,1,0.0850,3,88,0.260,0.0,0.0
2014,1,1,6,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-6.50,-16.50,41,64655,0,0,163,0,0,0,0,0,0,0,103,1.20,0,1,777.7,77777,9,999999999,1,0.0850,3,88,0.260,0.0,0.0
2014,1,1,7,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-6.80,-16.50,46,64624,0,0,162,0,0,0,0,0,0,0,110,2.00,0,0,777.7,77777,9,999999999,1,0.0850,3,88,0.260,0.0,0.0
2014,1,1,8,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-4.80,-14.60,46,64826,0,0,161,0,0,0,0,0,0,0,118,1.80,0,2,777.7,77777,9,999999999,2,0.0850,3,88,0.260,0.0,0.0
2014,1,1,9,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-2.90,-14.20,41,65029,24,115,163,210,777,38,33275,87239,6340,5139,125,1.70,0,1,777.7,77777,9,999999999,2,0.0850,3,88,0.260,0.0,0.0
2014,1,1,10,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-0.90,-14.10,36,65231,296,1415,166,410,951,54,52430,99485,8081,4340,165,1.50,0,0,777.7,77777,9,999999999,2,0.0850,3,88,0.260,0.0,0.0
2014,1,1,11,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,1.60,-11.50,37,65476,528,1415,171,570,1019,64,66394,104207,9351,3617,171,1.30,0,0,777.7,77777,9,999999999,2,0.0850,3,88,0.260,0.0,0.0
2014,1,1,12,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,2.30,-14.30,28,65720,707,1415,175,671,1045,72,73052,104838,10744,3330,175,1.20,0,0,777.7,77777,9,999999999,2,0.0850,3,88,0.260,0.0,0.0
2014,1,1,13,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,4.40,-11.60,30,65965,818,1415,182,701,1032,83,72027,102389,11900,3269,250,1.00,0,0,777.7,1684,9,999999999,2,0.0850,3,88,0.260,0.1,0.0
2014,1,1,14,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,5.40,-13.50,24,66103,855,1415,187,658,996,88,63388,94890,12887,3481,214,1.70,0,0,777.7,2221,9,999999999,2,0.0850,3,88,0.260,0.0,0.0
2014,1,1,15,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,6.80,-16.50,17,66241,815,1415,187,538,883,98,47467,79487,13664,4095,232,2.30,0,0,777.7,77777,9,999999999,1,0.0850,3,88,0.250,0.0,0.0
2014,1,1,16,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,6.60,-18.10,15,66378,701,1415,195,361,691,102,28315,61156,11353,4233,270,3.00,1,1,777.7,2819,9,999999999,1,0.0850,3,88,0.250,0.0,0.0
2014,1,1,17,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,2.00,-16.90,23,66234,520,1415,199,175,520,65,11721,37547,5765,2837,215,2.30,9,0,777.7,2936,9,999999999,1,0.0850,3,88,0.250,0.0,0.0
2014,1,1,18,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,2.60,-21.40,15,66090,285,1415,186,43,224,18,2359,11287,1314,837,205,1.70,2,0,777.7,2926,9,999999999,1,0.0850,3,88,0.250,0.0,0.0
2014,1,1,19,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,3.00,-23.60,12,65946,12,1415,171,0,0,0,0,0,0,0,270,1.00,0,0,777.7,77777,9,999999999,1,0.0850,3,88,0.250,0.0,0.0
2014,1,1,20,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,2.50,-23.00,13,65640,0,60,166,0,0,0,0,0,0,0,177,1.20,0,0,777.7,77777,9,999999999,1,0.0850,3,88,0.250,0.0,0.0
2014,1,1,21,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,0.20,-21.30,18,65334,0,0,162,0,0,0,0,0,0,0,177,1.30,0,0,777.7,77777,9,999999999,1,0.0850,3,88,0.250,0.0,0.0
2014,1,1,22,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-2.90,-20.70,20,65027,0,0,162,0,0,0,0,0,0,0,180,1.50,0,0,777.7,77777,9,999999999,1,0.0850,3,88,0.250,0.0,0.0
2014,1,1,23,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-2.10,-20.00,20,65105,0,0,163,0,0,0,0,0,0,0,179,1.70,0,0,777.7,77777,9,999999999,1,0.0850,3,88,0.250,0.0,0.0
2014,1,1,24,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-1.40,-17.10,29,65183,0,0,161,0,0,0,0,0,0,0,176,1.80,0,0,777.7,77777,9,999999999,1,0.0850,3,88,0.250,0.0,0.0
2014,1,2,1,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-0.60,-15.20,32,65261,0,0,160,0,0,0,0,0,0,0,320,2.00,0,0,777.7,77777,9,999999999,2,0.0840,3,88,0.250,0.0,0.0
2014,1,2,2,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-2.10,-16.20,33,65108,0,0,159,0,0,0,0,0,0,0,166,1.20,0,0,777.7,77777,9,999999999,1,0.0840,3,88,0.250,0.0,0.0
2014,1,2,3,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-3.60,-16.10,37,64954,0,0,156,0,0,0,0,0,0,0,163,0.80,0,0,777.7,77777,9,999999999,1,0.0840,3,88,0.250,0.0,0.0
2014,1,2,4,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-5.10,-18.50,30,64801,0,0,152,0,0,0,0,0,0,0,166,0.60,0,0,777.7,77777,9,999999999,1,0.0840,3,88,0.250,0.0,0.0
2014,1,2,5,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-5.60,-16.20,43,64745,0,0,155,0,0,0,0,0,0,0,168,0.50,0,1,777.7,77777,9,999999999,1,0.0840,3,88,0.250,0.0,0.0
2014,1,2,6,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-6.20,-18.20,34,64690,0,0,155,0,0,0,0,0,0,0,167,0.40,0,0,777.7,77777,9,999999999,1,0.0840,3,88,0.250,0.0,0.0
2014,1,2,7,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-6.20,-15.20,45,64687,0,0,152,0,0,0,0,0,0,0,163,0.40,0,0,777.7,77777,9,999999999,2,0.0840,3,88,0.250,0.0,0.0
2014,1,2,8,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-4.50,-13.30,50,64865,0,0,150,0,0,0,0,0,0,0,133,0.30,1,2,777.7,77777,9,999999999,2,0.0840,3,88,0.250,0.0,0.0
