Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2021,1,1,1,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-9.00,-18.00,48,101193,0,0,184,0,0,0,0,0,0,0,257,0.00,0,2,9900.0,77777,9,999999999,2,0.0850,0,88,0.190,0.0,0.0
2021,1,1,2,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-9.00,-17.20,51,101193,0,0,184,0,0,0,0,0,0,0,259,1.00,0,3,9900.0,77777,9,999999999,2,0.0850,0,88,0.190,0.0,0.0
2021,1,1,3,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-3.90,-13.30,44,102958,0,0,184,0,0,0,0,0,0,0,330,1.30,0,1,9900.0,77777,9,999999999,3,0.0850,0,88,0.190,0.0,0.0
2021,1,1,4,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-9.00,-13.00,70,101193,0,0,186,0,0,0,0,0,0,0,90,2.00,0,6,9900.0,77777,9,999999999,3,0.0850,0,88,0.190,0.0,0.0
2021,1,1,5,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-10.00,-13.00,76,101192,0,0,186,0,0,0,0,0,0,0,259,1.00,0,7,9900.0,77777,9,999999999,3,0.0850,0,88,0.190,0.0,0.0
2021,1,1,6,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-3.90,-10.30,61,102808,0,0,186,0,0,0,0,0,0,0,278,1.20,0,4,9900.0,77777,9,999999999,4,0.0850,0,88,0.190,0.0,0.0
2021,1,1,7,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-11.00,-16.30,65,101192,0,0,186,0,0,0,0,0,0,0,90,1.00,0,5,9900.0,77777,9,999999999,2,0.0850,0,88,0.190,0.0,0.0
2021,1,1,8,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-8.00,-12.00,70,101193,189,1053,186,0,0,0,0,0,0,0,247,1.00,0,6,9900.0,77777,9,999999999,3,0.0850,0,88,0.190,0.0,0.0
2021,1,1,9,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-3.40,-9.40,63,102719,407,1415,187,105,267,40,19136,44750,7761,3423,58,1.10,0,5,9900.0,77777,9,999999999,4,0.0850,0,88,0.190,0.0,0.0
2021,1,1,10,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-2.00,-10.00,50,101196,575,1415,189,258,617,76,34163,68655,11338,3911,80,1.00,0,2,9900.0,77777,9,999999999,4,0.0850,0,88,0.190,0.0,0.0
