Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2019,1,1,1,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-10.80,-21.50,37,103808,0,0,187,0,0,0,0,0,0,0,340,1.50,0,0,4300.0,7047,9,999999999,1,0.0850,0,88,0.200,0.0,0.0
2019,1,1,2,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-11.10,-21.30,39,103784,0,0,190,0,0,0,0,0,0,0,90,1.00,1,1,4533.0,6748,9,999999999,1,0.0850,0,88,0.200,0.0,0.0
2019,1,1,3,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-11.30,-21.10,40,103760,0,0,195,0,0,0,0,0,0,0,90,1.00,1,1,4766.0,6743,9,999999999,1,0.0850,0,88,0.200,0.0,0.0
2019,1,1,4,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-11.60,-20.90,42,103736,0,0,196,0,0,0,0,0,0,0,40,1.00,1,1,5000.0,240,9,999999999,1,0.0850,0,88,0.200,0.0,0.0
2019,1,1,5,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-10.60,-18.80,51,103214,0,0,201,0,0,0,0,0,0,0,72,1.00,3,3,7000.0,6454,9,999999999,2,0.0850,0,88,0.200,0.0,0.0
2019,1,1,6,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-9.70,-17.60,52,102692,0,0,197,0,0,0,0,0,0,0,107,1.00,3,3,9000.0,6285,9,999999999,2,0.0850,0,88,0.200,0.0,0.0
2019,1,1,7,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-11.80,-21.30,41,103666,0,0,197,0,0,0,0,0,0,0,20,2.00,9,9,5700.0,6511,9,999999999,1,0.0850,0,88,0.200,0.0,0.0
2019,1,1,8,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-11.70,-21.00,42,103693,0,0,189,0,0,0,0,0,0,0,82,1.70,1,1,5266.0,77777,9,999999999,1,0.0850,0,88,0.200,0.0,0.0
2019,1,1,9,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-11.70,-20.70,43,103720,0,0,190,48,0,23,11178,35931,5035,5033,72,1.30,1,1,4833.0,77777,9,999999999,1,0.0850,0,88,0.200,0.0,0.0
2019,1,1,10,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-11.60,-20.40,44,103746,75,456,192,163,526,52,23811,63807,7649,6112,40,1.00,9,9,4400.0,77777,9,999999999,1,0.0850,0,88,0.200,0.0,0.0
2019,1,1,11,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-11.10,-20.70,41,103684,276,1415,188,290,738,64,34886,78124,8976,5192,134,1.00,10,1,4500.0,77777,9,999999999,1,0.0850,0,88,0.200,0.0,0.0
2019,1,1,12,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-10.50,-21.00,38,103622,433,1415,189,375,810,72,41108,82744,9740,4476,159,1.00,7,0,4600.0,77777,9,999999999,1,0.0850,0,88,0.200,0.0,0.0
