Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2010,1,1,1,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.00,1.00,75,100898,0,0,272,0,0,0,0,0,0,0,110,3.00,0,0,5000.0,77777,9,999999999,11,0.0850,0,88,0.140,0.0,0.0
2010,1,1,2,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.00,1.00,75,100898,0,0,295,0,0,0,0,0,0,0,120,3.00,0,0,4000.0,77777,9,999999999,11,0.0850,0,88,0.140,0.0,0.0
2010,1,1,3,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,3.40,-2.50,65,101697,0,0,281,0,0,0,0,0,0,0,180,1.00,9,9,4000.0,3298,9,999999999,8,0.0850,0,88,0.140,0.0,0.0
2010,1,1,4,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,4.00,-2.20,64,100896,0,0,271,0,0,0,0,0,0,0,100,3.00,0,0,4000.0,77777,9,999999999,8,0.0850,0,88,0.140,0.0,0.0
2010,1,1,5,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.00,1.00,75,100898,0,0,285,0,0,0,0,0,0,0,100,2.00,0,0,4000.0,77777,9,999999999,11,0.0850,0,88,0.140,0.0,0.0
2010,1,1,6,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,5.10,-0.70,66,101590,0,0,275,0,0,0,0,0,0,0,180,1.00,10,10,4000.0,3510,9,999999999,9,0.0850,0,88,0.140,0.0,0.0
2010,1,1,7,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.00,2.00,81,100898,0,0,267,0,0,0,0,0,0,0,140,2.00,0,0,4000.0,77777,9,999999999,12,0.0850,0,88,0.140,0.0,0.0
2010,1,1,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,3.70,0.70,81,100898,159,800,266,0,0,0,0,0,0,0,169,1.00,0,0,4000.0,77777,9,999999999,11,0.0850,0,88,0.140,0.0,0.0
2010,1,1,9,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,4.00,-0.90,70,101600,410,1415,261,74,153,41,16359,27324,9092,4151,180,1.00,10,10,4000.0,3479,0,919999999,9,0.0850,0,88,0.140,0.0,0.0
2010,1,1,10,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.00,2.00,81,100898,614,1415,270,207,372,95,30391,42906,15822,5454,180,2.00,0,0,2500.0,77777,0,919999999,12,0.0850,0,88,0.140,0.0,0.0
2010,1,1,11,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.00,1.90,75,100899,757,1415,266,336,463,135,42301,50439,20100,5742,220,2.00,0,0,2500.0,77777,0,919999999,12,0.0850,0,88,0.140,0.0,0.0
2010,1,1,12,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,6.10,-0.80,61,101651,829,1415,280,435,527,154,45698,47532,21938,5994,220,1.00,10,10,2500.0,3204,0,919999999,9,0.0850,0,88,0.140,0.0,0.0
2010,1,1,13,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.00,-1.60,58,100899,825,1415,294,404,406,171,39717,31791,23410,6997,190,3.00,5,5,2300.0,77777,0,919999999,8,0.0850,0,88,0.140,0.0,0.0
2010,1,1,14,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,8.60,0.30,56,100899,746,1415,320,311,220,183,30997,18572,21143,7359,180,3.00,5,5,2300.0,77777,0,919999999,10,0.0850,0,88,0.140,0.0,0.0
2010,1,1,15,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,6.90,1.40,68,101334,597,1415,319,224,144,147,22862,14832,16347,7456,180,1.00,10,10,2300.0,77777,0,919999999,11,0.0850,0,88,0.140,0.0,0.0
2010,1,1,16,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,-0.70,58,100901,388,1415,321,156,145,99,16465,16210,12658,8395,193,1.00,5,5,2300.0,77777,0,919999999,9,0.0850,0,88,0.140,0.0,0.0
2010,1,1,17,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,3.10,76,100901,133,1415,294,116,170,68,9580,12594,8086,6835,150,2.00,5,5,2300.0,77777,0,919999999,13,0.0850,0,88,0.140,0.0,0.0
2010,1,1,18,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,7.20,3.30,76,101295,0,666,296,43,0,28,2894,3754,2782,2437,140,2.00,10,10,2300.0,77777,0,919999999,14,0.0850,0,88,0.140,0.0,0.0
2010,1,1,19,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.00,4.00,87,100899,0,0,278,4,0,3,216,0,164,57,100,3.00,0,0,1600.0,77777,0,919999999,15,0.0850,0,88,0.140,0.0,0.0
2010,1,1,20,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.00,4.00,87,100899,0,0,269,0,0,0,0,0,0,0,100,3.00,0,0,1800.0,77777,0,919999999,15,0.0850,0,88,0.140,0.0,0.0
2010,1,1,21,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,6.30,3.60,83,101443,0,0,271,0,0,0,0,0,0,0,160,2.00,10,10,1800.0,77777,0,919999999,14,0.0850,0,88,0.140,0.0,0.0
2010,1,1,22,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.00,4.00,93,100898,0,0,267,0,0,0,0,0,0,0,130,3.00,0,0,1200.0,77777,0,919999999,15,0.0850,0,88,0.140,0.0,0.0
2010,1,1,23,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.00,4.00,93,100898,0,0,258,0,0,0,0,0,0,0,120,2.00,0,0,1500.0,77777,0,919999999,15,0.0850,0,88,0.140,0.0,0.0
2010,1,1,24,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,2.90,1.20,94,101506,0,0,256,0,0,0,0,0,0,0,196,0.00,0,0,1500.0,77777,0,919999999,11,0.0850,0,88,0.140,0.0,0.0
2010,1,2,1,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,2.50,2.10,97,101200,0,0,254,0,0,0,0,0,0,0,198,0.50,0,10,9600.0,77777,9,999999999,12,0.0840,0,88,0.140,0.0,0.0
