Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2013,1,1,1,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,8.00,2.30,67,101104,0,0,264,0,0,0,0,0,0,0,20,3.00,5,5,9900.0,2755,9,999999999,12,0.0850,0,88,0.100,0.0,0.0
2013,1,1,2,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,0.00,61,101103,0,0,263,0,0,0,0,0,0,0,40,3.00,4,4,9900.0,2006,9,999999999,10,0.0850,0,88,0.100,0.0,0.0
2013,1,1,3,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,6.70,-1.90,54,102135,0,0,268,0,0,0,0,0,0,0,20,3.00,9,9,9900.0,1500,9,999999999,8,0.0850,0,88,0.100,0.0,0.0
2013,1,1,4,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,8.00,0.00,57,101104,0,0,293,0,0,0,0,0,0,0,360,2.00,4,4,9900.0,2555,9,999999999,10,0.0850,0,88,0.100,0.0,0.0
2013,1,1,5,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,8.00,0.90,61,101104,0,0,314,0,0,0,0,0,0,0,310,2.00,4,4,9900.0,2436,9,999999999,11,0.0850,0,88,0.100,0.0,0.0
2013,1,1,6,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,8.00,0.90,61,101104,0,0,328,0,0,0,0,0,0,0,280,2.00,4,4,9900.0,2657,9,999999999,11,0.0850,0,88,0.100,0.0,0.0
2013,1,1,7,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,9.00,3.00,66,101104,21,97,325,0,0,0,0,0,0,0,10,1.00,5,5,9900.0,2683,9,999999999,13,0.0850,0,88,0.100,0.0,0.0
2013,1,1,8,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,9.00,0.90,57,101104,312,1415,329,0,0,0,0,0,0,0,13,1.00,4,4,9900.0,2397,9,999999999,11,0.0850,0,88,0.100,0.0,0.0
2013,1,1,9,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,7.70,2.00,67,102206,565,1415,322,61,59,48,10285,5558,9388,3017,250,2.00,10,10,9900.0,1500,0,919999999,12,0.0850,0,88,0.100,0.0,0.0
2013,1,1,10,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,10.00,4.00,66,101105,765,1415,335,105,50,87,14326,4691,12375,3574,270,2.00,9,9,9900.0,1800,0,919999999,15,0.0850,0,88,0.100,0.0,0.0
