Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2023,1,1,1,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-2.30,-5.30,78,102665,0,0,233,0,0,0,0,0,0,0,183,0.00,0,7,2100.0,77777,9,999999999,6,0.0850,0,88,0.150,0.0,0.0
2023,1,1,2,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-2.80,-5.30,80,102664,0,0,232,0,0,0,0,0,0,0,206,0.00,0,7,2000.0,77777,9,999999999,6,0.0850,0,88,0.150,0.0,0.0
2023,1,1,3,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-3.20,-5.40,83,102663,0,0,231,0,0,0,0,0,0,0,255,0.00,0,8,1900.0,77777,9,999999999,6,0.0850,0,88,0.150,0.0,0.0
2023,1,1,4,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-3.60,-5.60,84,102676,0,0,231,0,0,0,0,0,0,0,0,0.00,0,8,1966.0,77777,9,999999999,6,0.0850,0,88,0.150,0.0,0.0
2023,1,1,5,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-3.90,-5.80,85,102688,0,0,230,0,0,0,0,0,0,0,33,0.00,0,8,2033.0,77777,9,999999999,6,0.0850,0,88,0.150,0.0,0.0
2023,1,1,6,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-4.30,-6.00,86,102701,0,0,228,0,0,0,0,0,0,0,37,0.00,0,8,2100.0,77777,9,999999999,6,0.0850,0,88,0.150,0.0,0.0
2023,1,1,7,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-4.60,-7.20,80,102458,0,0,226,0,0,0,0,0,0,0,45,0.30,0,7,3733.0,77777,9,999999999,5,0.0850,0,88,0.150,0.0,0.0
2023,1,1,8,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-4.80,-8.30,74,102215,164,874,224,0,0,0,0,0,0,0,53,0.70,6,6,5366.0,6260,9,999999999,4,0.0850,0,88,0.150,0.0,0.0
2023,1,1,9,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-0.40,-5.40,66,102838,397,1415,235,71,88,50,15713,16000,12425,5236,110,1.00,5,5,2300.0,5909,9,999999999,6,0.0850,0,88,0.150,0.0,0.0
2023,1,1,10,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,1.60,-1.50,80,102871,581,1415,252,186,224,120,28458,26900,20003,7325,69,1.30,7,7,2400.0,5720,9,999999999,9,0.0850,0,88,0.150,0.0,0.0
2023,1,1,11,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,5.40,-5.80,47,102905,705,1415,263,304,301,180,39560,34454,24890,8405,82,1.70,2,2,2500.0,5318,9,999999999,6,0.0850,0,88,0.150,0.0,0.0
2023,1,1,12,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,5.60,-6.00,41,102939,759,1415,269,397,369,213,46872,40219,27047,8945,90,2.00,1,1,2600.0,5028,9,999999999,5,0.0850,0,88,0.150,0.0,0.0
2023,1,1,13,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,6.40,-2.70,52,102861,741,1415,268,440,417,218,48003,40992,27047,9903,79,2.30,3,3,2700.0,4848,9,999999999,8,0.0850,0,88,0.150,0.0,0.0
2023,1,1,14,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,7.30,-6.10,36,102783,650,1415,275,414,384,213,42913,36900,25281,11496,72,2.70,0,0,2800.0,4710,9,999999999,5,0.0850,0,88,0.150,0.0,0.0
2023,1,1,15,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,8.10,-6.10,34,102705,494,1415,277,340,333,187,33205,28763,21722,13252,90,3.00,0,0,2900.0,4457,9,999999999,5,0.0850,0,88,0.150,0.0,0.0
2023,1,1,16,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,7.70,-6.40,34,102731,283,1415,277,230,226,145,19937,15198,15125,12411,70,2.30,0,0,3000.0,4294,9,999999999,5,0.0850,0,88,0.150,0.0,0.0
2023,1,1,17,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,7.30,-6.80,34,102756,32,1415,287,101,67,82,7431,3754,6521,6295,64,1.70,0,0,3100.0,4145,9,999999999,5,0.0850,0,88,0.150,0.0,0.0
2023,1,1,18,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,6.90,-3.90,46,102782,0,163,297,20,0,20,1150,170,1150,965,60,1.00,2,2,3200.0,4145,9,999999999,7,0.0850,0,88,0.150,0.0,0.0
