Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2015,1,1,1,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,-0.80,-16.50,29,101289,0,0,194,0,0,0,0,0,0,0,321,3.90,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,2,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,-2.40,-16.10,34,101289,0,0,192,0,0,0,0,0,0,0,317,3.40,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,3,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,-2.70,-16.30,34,101289,0,0,191,0,0,0,0,0,0,0,309,2.90,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,4,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,-3.00,-16.60,34,101289,0,0,191,0,0,0,0,0,0,0,301,2.70,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,5,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,-4.00,-16.50,37,101289,0,0,189,0,0,0,0,0,0,0,296,2.80,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,6,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,-4.00,-17.20,35,101289,0,0,189,0,0,0,0,0,0,0,296,3.20,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,7,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,-4.30,-16.20,39,101289,0,0,190,0,0,0,0,0,0,0,295,3.20,0,1,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,8,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,-4.40,-16.50,38,101289,227,1221,189,0,0,0,0,0,0,0,299,3.20,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,9,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,-3.80,-15.40,40,101289,453,1415,190,127,443,47,22009,54666,8648,3497,299,3.60,0,1,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,10,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,-2.90,-13.70,43,101289,628,1415,194,291,640,83,38002,70650,12236,3817,305,3.40,0,1,777.7,77777,9,999999999,3,0.0850,0,88,0.160,0.0,0.0
2015,1,1,11,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,1.80,-14.30,29,101289,739,1415,198,437,760,102,50518,79714,14065,3693,318,3.90,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,12,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,2.30,-14.30,28,101289,780,1415,202,535,819,110,57486,83780,14763,3775,336,4.80,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,13,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,2.50,-14.50,27,101289,746,1415,205,571,840,112,57902,84360,14555,4293,334,4.80,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,14,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,3.70,-16.00,22,101289,640,1415,206,543,831,109,51532,80952,13607,5283,330,4.60,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,15,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,3.70,-16.60,21,101289,470,1415,206,449,773,100,39104,71887,11928,6749,327,4.10,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,16,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,3.60,-17.20,20,101289,248,1415,209,304,651,84,23149,56030,8719,7462,325,3.50,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,17,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,2.00,-16.90,23,101289,0,1346,209,139,0,50,8907,31850,4264,4689,316,2.60,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,18,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,0.70,-15.70,28,101289,0,0,206,28,0,14,1540,8696,972,1026,306,2.40,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,19,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,-1.80,-14.20,38,101289,0,0,204,0,0,0,0,0,0,0,297,2.50,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,20,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,-1.50,-14.90,35,101289,0,0,203,0,0,0,0,0,0,0,291,2.20,0,0,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
2015,1,1,21,30,?9?9?9?9E0?9?9?9?9*9?9?9?9*9?9?9*9?9*9*9?9*9,-2.30,-14.30,39,101289,0,0,203,0,0,0,0,0,0,0,246,1.80,7,1,777.7,77777,9,999999999,2,0.0850,0,88,0.160,0.0,0.0
