Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2016,1,1,1,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-20.90,-23.20,80,99363,0,0,185,0,0,0,0,0,0,0,110,1.00,9,7,2300.0,240,9,999999999,1,0.0850,14,88,0.340,0.0,0.0
2016,1,1,2,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-22.00,-24.50,78,99299,0,0,173,0,0,0,0,0,0,0,215,1.00,7,7,2533.0,77777,9,999999999,1,0.0850,14,88,0.340,0.0,0.0
2016,1,1,3,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-23.10,-25.90,76,99236,0,0,167,0,0,0,0,0,0,0,210,1.00,7,7,2766.0,3497,9,999999999,1,0.0850,14,88,0.340,0.0,0.0
2016,1,1,4,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-24.20,-27.20,74,99172,0,0,170,0,0,0,0,0,0,0,270,1.00,6,6,3000.0,2289,9,999999999,1,0.0850,14,88,0.340,0.0,0.0
2016,1,1,5,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-23.20,-26.00,76,99122,0,0,180,0,0,0,0,0,0,0,188,1.00,7,7,3133.0,3498,9,999999999,1,0.0850,14,88,0.340,0.0,0.0
2016,1,1,6,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-22.10,-24.70,77,99072,0,0,209,0,0,0,0,0,0,0,181,1.00,7,7,3266.0,3457,9,999999999,1,0.0850,14,88,0.340,0.0,0.0
2016,1,1,7,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-21.10,-23.50,79,99022,0,0,215,0,0,0,0,0,0,0,140,1.00,7,7,3400.0,240,9,999999999,1,0.0850,14,88,0.340,0.0,0.0
2016,1,1,8,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-20.70,-22.90,81,99250,128,924,221,0,0,0,0,0,0,0,162,1.30,8,8,5600.0,2185,9,999999999,1,0.0850,14,88,0.340,0.0,0.0
2016,1,1,9,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,-20.30,-22.20,83,99477,289,1415,221,0,0,0,0,0,0,0,159,1.70,8,8,7800.0,2157,9,999999999,1,0.0850,14,88,0.340,0.0,0.0
2016,1,1,10,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9*9*9,-20.20,-22.90,77,98851,401,1415,226,37,15,35,8184,3379,7598,3538,250,1.00,10,10,3100.0,1250,9,999999999,1,0.0850,0,88,0.340,0.0,0.0
