Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2010,1,1,1,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.00,-5.00,66,100983,0,0,231,0,0,0,0,0,0,0,130,2.00,0,0,6000.0,77777,9,999999999,6,0.0850,0,88,0.140,0.0,0.0
2010,1,1,2,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.00,-4.00,72,100983,0,0,227,0,0,0,0,0,0,0,140,2.00,0,0,6000.0,77777,9,999999999,7,0.0850,0,88,0.140,0.0,0.0
2010,1,1,3,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-0.20,-4.60,69,101925,0,0,226,0,0,0,0,0,0,0,160,1.00,0,0,6000.0,77777,9,999999999,6,0.0850,0,88,0.140,0.0,0.0
2010,1,1,4,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.00,-4.00,72,100983,0,0,226,0,0,0,0,0,0,0,150,3.00,0,0,5000.0,77777,9,999999999,7,0.0850,0,88,0.140,0.0,0.0
2010,1,1,5,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.00,-4.00,72,100983,0,0,226,0,0,0,0,0,0,0,160,3.00,0,0,5000.0,77777,9,999999999,7,0.0850,0,88,0.140,0.0,0.0
2010,1,1,6,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.20,-4.40,68,101816,0,0,225,0,0,0,0,0,0,0,160,2.00,8,8,5000.0,10064,9,999999999,6,0.0850,0,88,0.140,0.0,0.0
2010,1,1,7,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-4.00,78,100982,0,0,228,0,0,0,0,0,0,0,140,2.00,0,0,5000.0,77777,9,999999999,7,0.0850,0,88,0.140,0.0,0.0
2010,1,1,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-4.00,78,100982,194,1006,225,0,0,0,0,0,0,0,140,2.00,0,0,5000.0,77777,9,999999999,7,0.0850,0,88,0.140,0.0,0.0
2010,1,1,9,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.20,-2.70,79,101806,433,1415,225,101,227,44,19828,39866,8631,3627,140,1.00,1,1,5000.0,77777,9,999999999,8,0.0850,0,88,0.140,0.0,0.0
2010,1,1,10,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,2.00,-1.00,80,100986,623,1415,230,258,548,84,35199,62894,12602,3873,150,2.00,0,0,4000.0,77777,9,999999999,9,0.0850,0,88,0.140,0.0,0.0
2010,1,1,11,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.90,-3.00,59,100988,751,1415,236,411,692,106,49592,72865,15043,4184,150,3.00,0,0,5000.0,77777,9,999999999,7,0.0850,0,88,0.140,0.0,0.0
2010,1,1,12,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.40,-3.30,55,101751,807,1415,241,515,744,124,58669,77112,16283,4698,160,3.00,9,9,6000.0,77777,9,999999999,7,0.0850,0,88,0.140,0.0,0.0
2010,1,1,13,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,-3.00,49,100990,788,1415,249,562,769,127,59255,78710,16010,4646,140,3.00,0,0,5000.0,77777,9,999999999,7,0.0850,0,88,0.140,0.0,0.0
2010,1,1,14,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,10.30,-2.40,41,100992,696,1415,253,551,783,118,51742,66245,18167,6945,140,2.00,0,0,5000.0,77777,9,999999999,8,0.0850,0,88,0.140,0.0,0.0
2010,1,1,15,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,8.30,-2.30,46,101457,536,1415,258,417,519,152,37394,37827,20998,11901,140,2.00,9,9,7000.0,77777,9,999999999,8,0.0850,0,88,0.140,0.0,0.0
2010,1,1,16,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,11.00,-2.70,38,100993,320,1415,304,242,216,158,21591,16785,17105,13795,150,3.00,0,0,5000.0,77777,9,999999999,7,0.0850,0,88,0.140,0.0,0.0
2010,1,1,17,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,8.00,0.00,57,100993,62,1415,295,117,112,88,9293,7154,8500,8689,140,3.00,0,0,4500.0,77777,9,999999999,10,0.0850,0,88,0.140,0.0,0.0
2010,1,1,18,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.20,-0.70,57,101396,0,309,305,29,0,25,2008,1468,2008,2092,160,2.00,10,10,8000.0,4265,9,999999999,9,0.0850,0,88,0.140,0.0,0.0
2010,1,1,19,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.00,1.00,70,100991,0,0,290,1,0,1,27,0,27,10,140,3.00,0,0,3500.0,77777,9,999999999,11,0.0850,0,88,0.140,0.0,0.0
2010,1,1,20,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.00,2.00,75,100991,0,0,293,0,0,0,0,0,0,0,150,3.00,0,0,3000.0,77777,9,999999999,12,0.0850,0,88,0.140,0.0,0.0
2010,1,1,21,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.50,1.40,75,101484,0,0,282,0,0,0,0,0,0,0,180,3.00,9,9,8000.0,5236,9,999999999,11,0.0850,0,88,0.140,0.0,0.0
2010,1,1,22,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.00,2.00,81,100990,0,0,264,0,0,0,0,0,0,0,140,2.00,0,0,4000.0,77777,9,999999999,12,0.0850,0,88,0.140,0.0,0.0
2010,1,1,23,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,4.20,1.00,87,100987,0,0,254,0,0,0,0,0,0,0,130,1.00,0,0,4000.0,77777,9,999999999,11,0.0850,0,88,0.140,0.0,0.0
