Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2010,1,1,1,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,6.70,-1.80,54,101770,0,0,310,0,0,0,0,0,0,0,8,2.30,3,3,9333.0,1771,9,999999999,8,0.0850,0,88,0.130,0.0,0.0
2010,1,1,2,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,6.30,-1.30,58,101723,0,0,322,0,0,0,0,0,0,0,11,1.70,4,4,8666.0,1743,9,999999999,9,0.0850,0,88,0.130,0.0,0.0
2010,1,1,3,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.00,-0.70,62,101676,0,0,322,0,0,0,0,0,0,0,180,1.00,10,10,8000.0,1500,9,999999999,9,0.0850,0,88,0.130,0.0,0.0
2010,1,1,4,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,5.90,-0.80,62,101626,0,0,302,0,0,0,0,0,0,0,16,1.00,4,4,8666.0,2591,9,999999999,9,0.0850,0,88,0.130,0.0,0.0
2010,1,1,5,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,5.90,-0.80,62,101577,0,0,293,0,0,0,0,0,0,0,15,1.00,4,4,9333.0,2889,9,999999999,9,0.0850,0,88,0.130,0.0,0.0
2010,1,1,6,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,5.80,-0.90,62,101527,0,0,293,0,0,0,0,0,0,0,360,1.00,10,10,9333.0,1500,9,999999999,9,0.0850,0,88,0.130,0.0,0.0
2010,1,1,7,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,4.50,-2.50,60,102058,0,0,300,0,0,0,0,0,0,0,353,1.70,4,4,9333.0,2205,9,999999999,8,0.0850,0,88,0.130,0.0,0.0
2010,1,1,8,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,6.00,-1.40,59,102589,218,1087,315,0,0,0,0,0,0,0,341,2.30,4,4,9333.0,2389,9,999999999,9,0.0850,0,88,0.130,0.0,0.0
2010,1,1,9,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.30,-0.20,63,101617,469,1415,320,36,61,28,6857,5257,6380,2245,110,1.00,10,10,7000.0,1500,9,999999999,10,0.0850,0,88,0.140,0.0,0.0
2010,1,1,10,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,6.50,0.00,63,101631,670,1415,324,75,40,61,10827,4030,9471,2805,281,1.00,5,5,6333.0,2650,9,999999999,10,0.0850,0,88,0.140,0.0,0.0
2010,1,1,11,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,6.70,0.20,63,101644,808,1415,332,102,38,84,13521,4186,11368,3269,250,1.00,5,5,5666.0,2281,9,999999999,10,0.0850,0,88,0.140,0.0,0.0
2010,1,1,12,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.90,0.40,63,101658,872,1415,330,123,43,98,13819,3554,11829,3909,290,1.00,10,10,5000.0,1500,0,919999999,10,0.0850,0,88,0.140,0.1,0.0
2010,1,1,13,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,6.60,1.40,69,101571,858,1415,332,115,28,98,12500,1436,11654,4664,249,1.00,6,6,5000.0,1878,9,999999999,11,0.0850,0,88,0.140,0.0,0.0
2010,1,1,14,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,6.40,2.50,76,101485,769,1415,341,94,3,92,10915,135,10756,4478,243,1.00,7,7,5000.0,1373,9,999999999,13,0.0850,0,88,0.140,0.0,0.0
2010,1,1,15,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,6.10,3.40,83,101398,608,1415,342,74,2,73,7955,85,7878,3139,360,1.00,10,10,5000.0,1500,0,919999999,14,0.0850,0,88,0.140,0.0,0.0
2010,1,1,16,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,6.00,3.50,84,101388,388,1415,339,45,2,44,4367,41,4319,1659,227,1.00,8,8,4666.0,1207,9,999999999,14,0.0850,0,88,0.140,0.2,0.0
2010,1,1,17,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,6.00,3.60,85,101378,124,1415,339,24,0,24,1701,0,1701,680,210,1.00,8,8,4333.0,1264,9,999999999,14,0.0850,0,88,0.140,0.1,0.0
2010,1,1,18,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.90,3.70,86,101368,0,603,340,8,0,8,432,0,432,171,180,1.00,10,10,4000.0,1500,0,919999999,14,0.0850,0,88,0.140,0.0,0.0
