Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2019,1,1,1,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,5.20,4.80,97,99415,0,0,300,0,0,0,0,0,0,0,7,1.30,10,10,4583.0,1177,9,999999999,16,0.0850,0,88,0.110,0.0,0.0
2019,1,1,2,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,4.80,4.40,97,99407,0,0,295,0,0,0,0,0,0,0,70,1.00,10,10,4300.0,240,9,999999999,15,0.0850,0,88,0.110,0.0,0.0
2019,1,1,3,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,4.60,2.60,97,99365,0,0,269,0,0,0,0,0,0,0,6,1.00,10,10,3800.0,1148,9,999999999,13,0.0850,0,88,0.110,0.0,0.0
2019,1,1,4,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,4.10,3.80,98,99323,0,0,255,0,0,0,0,0,0,0,358,1.00,10,10,3300.0,1133,9,999999999,14,0.0850,0,88,0.110,0.0,0.0
2019,1,1,5,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,4.10,2.60,98,99281,0,0,268,0,0,0,0,0,0,0,270,1.00,10,10,2800.0,240,9,999999999,13,0.0850,0,88,0.110,0.0,0.0
2019,1,1,6,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,2.70,2.50,98,98759,0,0,266,0,0,0,0,0,0,0,358,1.00,10,10,2566.0,1109,9,999999999,12,0.0850,0,88,0.110,0.0,0.0
2019,1,1,7,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,2.60,2.20,97,98237,0,0,264,0,0,0,0,0,0,0,15,1.00,10,10,2333.0,1110,9,999999999,12,0.0850,0,88,0.110,0.0,0.0
2019,1,1,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,2.70,2.60,99,99335,11,56,257,0,0,0,0,0,0,0,70,1.00,10,10,1000.0,1318,9,999999999,13,0.0850,0,88,0.110,0.0,0.0
2019,1,1,9,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,2.90,2.80,99,99364,280,1415,262,114,270,56,20380,33935,9974,5748,37,1.00,10,10,1900.0,1335,9,999999999,13,0.0850,0,88,0.110,0.0,0.0
2019,1,1,10,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,5.20,1.60,77,99394,511,1415,267,234,381,93,33082,43476,15318,6036,61,1.00,7,7,2800.0,1338,9,999999999,11,0.0850,0,88,0.110,0.0,0.0
2019,1,1,11,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,5.60,0.80,71,99423,687,1415,266,351,460,128,41876,45952,20209,6200,90,1.00,10,10,3700.0,1387,9,999999999,11,0.0850,0,88,0.110,0.0,0.0
2019,1,1,12,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,5.60,0.20,68,99307,797,1415,259,404,437,161,40639,34782,22950,6416,325,1.00,5,5,4466.0,935,9,999999999,10,0.0850,0,88,0.110,0.0,0.0
2019,1,1,13,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,6.30,-0.90,60,99191,834,1415,289,326,246,182,32658,18917,22718,6374,320,1.00,4,4,5233.0,999,9,999999999,9,0.0850,0,88,0.110,0.0,0.0
