Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2009,1,1,1,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,7.50,6.00,91,98317,0,0,331,0,0,0,0,0,0,0,329,0.30,9,9,1833.0,414,9,999999999,18,0.0850,0,88,0.110,0.3,0.0
2009,1,1,2,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.40,6.00,91,98310,0,0,332,0,0,0,0,0,0,0,319,0.00,10,10,2000.0,1500,0,919999999,18,0.0850,0,88,0.110,0.3,0.0
2009,1,1,3,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,7.30,6.00,91,98312,0,0,335,0,0,0,0,0,0,0,317,0.30,9,9,1933.0,428,9,999999999,18,0.0850,0,88,0.110,0.3,0.0
2009,1,1,4,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,7.30,6.00,92,98314,0,0,333,0,0,0,0,0,0,0,314,0.70,9,9,1866.0,332,9,999999999,18,0.0850,0,88,0.110,0.4,0.0
2009,1,1,5,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.20,6.00,92,98316,0,0,332,0,0,0,0,0,0,0,250,1.00,10,10,1800.0,1500,0,919999999,18,0.0850,0,88,0.110,0.4,0.0
2009,1,1,6,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,6.70,4.70,87,98134,0,0,335,0,0,0,0,0,0,0,297,1.00,9,9,1866.0,184,9,999999999,19,0.0850,0,88,0.110,0.4,0.0
2009,1,1,7,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,6.70,3.90,82,97952,0,0,334,0,0,0,0,0,0,0,307,1.00,8,8,1933.0,188,9,999999999,14,0.0850,0,88,0.110,0.4,0.0
2009,1,1,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,5.90,93,98379,4,21,329,0,0,0,0,0,0,0,270,1.00,10,10,1200.0,1500,0,919999999,17,0.0850,0,88,0.110,0.3,0.0
2009,1,1,9,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,5.90,92,98430,282,1415,331,25,3,24,6044,1708,5604,2423,316,1.00,9,9,1466.0,177,9,999999999,17,0.0850,0,88,0.110,0.3,0.0
2009,1,1,10,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,5.80,92,98481,521,1415,329,73,32,60,12349,4268,10621,3719,325,1.00,9,9,1733.0,164,9,999999999,17,0.0850,0,88,0.110,0.2,0.0
2009,1,1,11,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,5.80,92,98532,707,1415,328,128,53,102,18098,6036,14889,4599,250,1.00,10,10,2000.0,1500,0,919999999,17,0.0850,0,88,0.110,0.2,0.0
2009,1,1,12,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,7.10,5.80,92,98416,827,1415,326,176,67,137,22698,8683,17743,4705,332,0.70,9,9,2333.0,318,9,999999999,17,0.0850,0,88,0.110,0.3,0.0
