Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2013,1,1,1,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,10.80,1.40,52,101957,0,0,312,0,0,0,0,0,0,0,26,1.30,3,3,777.7,1723,9,999999999,11,0.0850,0,88,0.080,0.0,0.0
2013,1,1,2,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,10.90,1.40,52,101954,0,0,323,0,0,0,0,0,0,0,360,1.00,9,9,777.7,1200,9,999999999,11,0.0850,0,88,0.080,0.0,0.0
2013,1,1,3,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,11.60,2.90,55,101936,0,0,351,0,0,0,0,0,0,0,32,2.20,3,3,777.7,1690,9,999999999,13,0.0850,0,88,0.080,0.0,0.0
2013,1,1,4,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,12.30,4.50,59,101918,0,0,349,0,0,0,0,0,0,0,37,3.30,4,4,777.7,1660,9,999999999,15,0.0850,0,88,0.080,0.0,0.0
2013,1,1,5,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,12.90,6.10,63,101900,0,0,351,0,0,0,0,0,0,0,37,4.50,5,5,777.7,1574,9,999999999,18,0.0850,0,88,0.080,0.0,0.0
2013,1,1,6,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,13.60,7.60,67,101882,0,0,336,0,0,0,0,0,0,0,27,5.70,5,5,777.7,1575,9,999999999,21,0.0850,0,88,0.080,0.0,0.0
2013,1,1,7,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,14.30,9.10,71,101864,0,0,337,0,0,0,0,0,0,0,27,6.80,6,6,777.7,1453,9,999999999,24,0.0850,0,88,0.080,0.0,0.0
2013,1,1,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,11.20,2.00,53,102024,177,808,344,65,111,37,15467,21558,10475,5593,20,3.00,9,9,777.7,1200,9,999999999,12,0.0850,0,88,0.080,0.0,0.0
2013,1,1,9,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,11.90,2.10,51,102044,461,1415,335,200,303,95,31800,39472,16477,6410,36,2.70,3,3,777.7,1402,9,999999999,12,0.0850,0,88,0.080,0.0,0.0
2013,1,1,10,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,12.70,2.00,48,102065,700,1415,330,363,461,130,47168,51945,19512,5628,42,2.30,2,2,777.7,1341,9,999999999,12,0.0850,0,88,0.080,0.0,0.0
2013,1,1,11,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,13.40,2.00,46,102085,878,1415,321,489,553,147,57594,57178,21658,5030,360,2.00,10,10,777.7,1200,9,999999999,12,0.0850,0,88,0.080,0.0,0.0
2013,1,1,12,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,13.80,2.40,46,101989,982,1415,322,569,580,170,62155,57017,24116,5167,38,1.70,2,2,777.7,1317,9,999999999,12,0.0850,0,88,0.080,0.0,0.0
2013,1,1,13,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,14.10,2.40,45,101893,1005,1415,328,593,567,194,59463,53317,25143,5522,25,1.30,2,2,777.7,1228,9,999999999,12,0.0850,0,88,0.080,0.0,0.0
2013,1,1,14,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,14.50,2.70,45,101796,946,1415,322,524,506,188,51409,49449,23267,5864,360,1.00,10,10,777.7,1200,9,999999999,13,0.0850,0,88,0.080,0.0,0.0
2013,1,1,15,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,14.50,2.80,45,101760,808,1415,335,425,474,157,40551,46577,19303,6314,328,1.00,2,2,777.7,1230,9,999999999,13,0.0850,0,88,0.080,0.0,0.0
2013,1,1,16,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,14.60,2.80,45,101723,602,1415,327,304,435,117,25846,38153,12791,6088,322,1.00,2,2,777.7,1281,9,999999999,13,0.0850,0,88,0.080,0.0,0.0
2013,1,1,17,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,14.60,2.80,45,101687,341,1415,333,145,300,64,10502,21106,5600,4130,360,1.00,10,10,777.7,1200,9,999999999,13,0.0850,0,88,0.080,0.0,0.0
2013,1,1,18,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,14.40,3.20,47,101693,43,1415,339,33,104,19,1832,5356,1314,1304,340,1.00,2,2,777.7,1285,9,999999999,13,0.0850,0,88,0.080,0.0,0.0
2013,1,1,19,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,14.10,3.30,48,101700,0,192,343,0,0,0,0,0,0,0,350,1.00,2,2,777.7,1283,9,999999999,14,0.0850,0,88,0.080,0.0,0.0
2013,1,1,20,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,13.90,3.70,50,101706,0,0,343,0,0,0,0,0,0,0,360,1.00,10,10,777.7,1200,9,999999999,14,0.0850,0,88,0.080,0.0,0.0
2013,1,1,21,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,13.70,4.30,53,101713,0,0,352,0,0,0,0,0,0,0,38,1.30,3,3,777.7,1199,9,999999999,15,0.0850,0,88,0.080,0.0,0.0
2013,1,1,22,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,13.50,4.90,56,101719,0,0,343,0,0,0,0,0,0,0,60,1.70,3,3,777.7,1145,9,999999999,16,0.0850,0,88,0.080,0.0,0.0
2013,1,1,23,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,13.30,5.50,59,101726,0,0,352,0,0,0,0,0,0,0,360,2.00,10,10,777.7,1200,9,999999999,17,0.0850,0,88,0.080,0.0,0.0
2013,1,1,24,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,13.30,5.40,59,101706,0,0,352,0,0,0,0,0,0,0,89,1.70,4,4,777.7,1055,9,999999999,17,0.0850,0,88,0.080,0.0,0.0
2013,1,2,1,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,13.20,5.20,58,101686,0,0,367,0,0,0,0,0,0,0,95,1.30,4,4,777.7,1016,9,999999999,16,0.0840,0,88,0.080,0.0,0.0
2013,1,2,2,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,13.20,5.10,58,101666,0,0,368,0,0,0,0,0,0,0,340,1.00,10,10,777.7,1200,9,999999999,16,0.0840,0,88,0.080,0.0,0.0
2013,1,2,3,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,13.10,5.50,60,101626,0,0,373,0,0,0,0,0,0,0,112,1.00,4,4,777.7,1077,9,999999999,17,0.0840,0,88,0.080,0.0,0.0
2013,1,2,4,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,13.00,5.90,62,101586,0,0,370,0,0,0,0,0,0,0,106,1.00,4,4,777.7,1038,9,999999999,18,0.0840,0,88,0.080,0.0,0.0
2013,1,2,5,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,12.90,6.30,64,101546,0,0,373,0,0,0,0,0,0,0,20,1.00,10,10,777.7,1200,9,999999999,18,0.0840,0,88,0.080,0.0,0.0
2013,1,2,6,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,16.10,10.50,69,101671,0,0,369,0,0,0,0,0,0,0,87,2.70,6,6,777.7,813,9,999999999,28,0.0840,0,88,0.080,0.0,0.0
2013,1,2,7,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,16.10,11.50,74,101796,0,0,366,0,0,0,0,0,0,0,73,4.30,6,6,777.7,723,9,999999999,31,0.0840,0,88,0.080,0.0,0.0
