Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2016,1,1,1,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,10.00,9.90,99,100395,0,0,307,0,0,0,0,0,0,0,226,1.00,10,10,5388.0,1338,9,999999999,26,0.0850,0,88,0.110,0.0,0.0
2016,1,1,2,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,10.10,9.90,99,100350,0,0,301,0,0,0,0,0,0,0,250,1.00,10,10,5633.0,1339,9,999999999,26,0.0850,0,88,0.110,0.0,0.0
2016,1,1,3,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,10.20,10.00,99,100315,0,0,308,0,0,0,0,0,0,0,325,1.00,10,10,5393.0,1262,9,999999999,26,0.0850,0,88,0.110,0.0,0.0
2016,1,1,4,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,10.30,10.10,99,100281,0,0,307,0,0,0,0,0,0,0,332,1.00,10,10,5155.0,1179,9,999999999,27,0.0850,0,88,0.110,0.0,0.0
2016,1,1,5,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,10.40,10.20,99,100246,0,0,305,0,0,0,0,0,0,0,250,1.00,10,10,4916.0,1113,9,999999999,27,0.0850,0,88,0.110,0.0,0.0
2016,1,1,6,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,10.00,8.50,91,100275,0,0,305,0,0,0,0,0,0,0,348,1.00,9,9,4727.0,1013,9,999999999,23,0.0850,0,88,0.110,0.0,0.0
2016,1,1,7,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,9.60,6.90,83,100304,0,0,311,0,0,0,0,0,0,0,340,1.00,8,8,4538.0,1006,9,999999999,19,0.0850,0,88,0.110,0.0,0.0
2016,1,1,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,10.70,10.50,99,100395,118,548,312,43,47,34,11130,9117,9736,5657,140,1.00,10,10,4900.0,921,9,999999999,28,0.0850,0,88,0.110,0.0,0.0
2016,1,1,9,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,11.30,10.40,94,100455,398,1415,313,132,141,88,22438,16757,17445,7100,341,1.00,10,10,4766.0,916,9,999999999,28,0.0850,0,88,0.110,0.0,0.0
2016,1,1,10,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,12.00,10.40,90,100516,635,1415,321,241,205,148,33165,20055,23882,7371,31,1.00,9,9,4633.0,882,9,999999999,27,0.0850,0,88,0.110,0.0,0.0
2016,1,1,11,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,12.60,10.30,86,100577,813,1415,345,330,209,211,39032,19085,27894,7342,110,1.00,10,10,4500.0,883,9,999999999,27,0.0850,0,88,0.110,0.0,0.0
2016,1,1,12,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,13.20,9.70,79,100484,920,1415,331,356,185,236,40246,18236,28962,7037,108,1.30,7,7,5000.0,859,9,999999999,26,0.0850,0,88,0.110,0.0,0.0
2016,1,1,13,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,13.80,9.00,73,100392,948,1415,342,360,191,233,37870,18206,26457,6362,114,1.70,6,6,5500.0,812,9,999999999,24,0.0850,0,88,0.110,0.0,0.0
2016,1,1,14,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,14.40,8.40,67,100299,896,1415,345,308,183,193,29599,14412,21163,5486,160,2.00,10,10,6000.0,870,9,999999999,22,0.0850,0,88,0.110,0.0,0.0
2016,1,1,15,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,14.30,8.30,67,100263,768,1415,347,202,111,139,19666,8291,16055,5050,122,1.70,5,5,5833.0,634,9,999999999,22,0.0850,0,88,0.110,0.0,0.0
