Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2016,1,1,1,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,11.10,9.80,92,101605,0,0,311,0,0,0,0,0,0,0,316,1.20,9,9,7158.0,1199,9,999999999,26,0.0850,0,88,0.140,0.0,0.0
2016,1,1,2,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,10.60,10.00,96,101598,0,0,315,0,0,0,0,0,0,0,323,1.20,10,10,7050.0,240,9,999999999,27,0.0850,0,88,0.140,0.0,0.0
2016,1,1,3,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,10.80,10.20,96,101563,0,0,314,0,0,0,0,0,0,0,329,1.10,10,10,2366.0,1129,9,999999999,27,0.0850,0,88,0.140,0.0,0.0
2016,1,1,4,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,11.10,10.30,95,101528,0,0,307,0,0,0,0,0,0,0,341,1.10,10,10,2433.0,1095,9,999999999,28,0.0850,0,88,0.140,0.0,0.0
2016,1,1,5,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,11.30,10.50,95,101493,0,0,310,0,0,0,0,0,0,0,347,1.10,10,10,2500.0,240,9,999999999,28,0.0850,0,88,0.140,0.0,0.0
2016,1,1,6,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,10.80,7.20,78,101514,0,0,310,0,0,0,0,0,0,0,349,1.20,7,7,8666.0,1126,9,999999999,20,0.0850,0,88,0.140,0.0,0.0
2016,1,1,7,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9*9?9*9*9?9*9,10.40,8.80,90,101535,0,0,316,0,0,0,0,0,0,0,357,1.40,9,9,8666.0,1127,9,999999999,24,0.0850,0,88,0.140,0.0,0.0
2016,1,1,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,11.70,8.90,83,101603,149,697,310,56,67,41,13958,12676,11266,6361,4,1.20,10,10,4400.0,1127,9,999999999,24,0.0850,0,88,0.140,0.0,0.0
2016,1,1,9,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,12.20,8.80,80,101655,427,1415,316,167,191,104,27351,23545,18690,7550,353,1.10,7,7,4066.0,1132,9,999999999,24,0.0850,0,88,0.140,0.0,0.0
2016,1,1,10,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,12.80,8.70,76,101706,660,1415,321,293,290,155,38158,28687,24261,7302,348,1.20,7,7,3733.0,1133,9,999999999,23,0.0850,0,88,0.140,0.0,0.0
2016,1,1,11,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,13.30,8.60,73,101758,832,1415,339,373,299,199,43474,26433,28093,7182,90,2.00,10,10,3400.0,1091,9,999999999,23,0.0850,0,88,0.140,0.0,0.0
2016,1,1,12,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,13.80,8.80,72,101671,932,1415,358,401,246,240,43361,20055,30141,7736,337,1.70,6,6,3733.0,1141,9,999999999,24,0.0850,0,88,0.140,0.0,0.0
2016,1,1,13,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,14.40,9.10,70,101585,953,1415,361,371,168,259,36142,11872,28419,7800,336,1.30,6,6,4066.0,1147,9,999999999,24,0.0850,0,88,0.140,0.0,0.0
2016,1,1,14,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,14.90,9.30,69,101498,893,1415,372,265,77,216,23543,4830,20914,6801,290,1.00,10,10,4400.0,1169,9,999999999,25,0.0850,0,88,0.140,0.0,0.0
2016,1,1,15,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,15.10,9.00,67,101456,757,1415,374,148,23,134,13093,1407,12636,5405,337,1.00,5,5,4466.0,1012,9,999999999,24,0.0850,0,88,0.140,0.0,0.0
