Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2013,1,1,1,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,10.10,4.00,81,101288,0,0,273,0,0,0,0,0,0,0,10,2.00,0,0,5000.0,77777,9,999999999,15,0.0850,0,88,0.110,0.0,0.0
2013,1,1,2,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,9.60,4.00,87,101288,0,0,272,0,0,0,0,0,0,0,20,1.00,0,0,5000.0,77777,9,999999999,15,0.0850,0,88,0.110,0.0,0.0
2013,1,1,3,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,7.60,2.50,70,102163,0,0,275,0,0,0,0,0,0,0,160,1.00,9,9,5000.0,3900,9,999999999,13,0.0850,0,88,0.110,0.0,0.0
2013,1,1,4,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,9.10,4.00,87,101288,0,0,287,0,0,0,0,0,0,0,26,0.00,9,9,4700.0,3900,9,999999999,15,0.0850,0,88,0.110,0.0,0.0
2013,1,1,5,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,5.00,87,101288,0,0,294,0,0,0,0,0,0,0,20,1.00,10,10,5000.0,3000,9,999999999,16,0.0850,0,88,0.110,0.0,0.0
2013,1,1,6,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,7.00,5.00,87,101288,0,0,309,0,0,0,0,0,0,0,20,0.00,0,0,5000.0,77777,9,999999999,16,0.0850,0,88,0.110,0.0,0.0
2013,1,1,7,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,8.00,6.00,87,101288,4,20,325,0,0,0,0,0,0,0,10,0.00,5,5,5000.0,77777,9,999999999,18,0.0850,0,88,0.110,0.0,0.0
2013,1,1,8,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,8.00,5.00,81,101288,300,1415,334,0,0,0,0,0,0,0,11,0.00,9,9,5000.0,1800,9,999999999,16,0.0850,0,88,0.110,0.0,0.0
2013,1,1,9,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,8.90,1.60,60,102273,560,1415,343,64,85,43,13764,12971,10601,3110,90,1.00,9,9,5000.0,1800,9,999999999,12,0.0850,0,88,0.110,0.0,0.0
2013,1,1,10,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,10.00,1.90,57,101288,767,1415,336,164,169,93,25819,21135,16508,4046,20,1.00,9,9,5000.0,1800,9,999999999,12,0.0850,0,88,0.110,0.0,0.0
2013,1,1,11,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,11.00,3.10,58,101289,907,1415,325,277,252,140,35477,27550,20122,4487,26,1.00,9,9,5000.0,1800,9,999999999,13,0.0850,0,88,0.110,0.0,0.0
2013,1,1,12,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,14.30,1.90,43,102274,970,1415,339,346,299,156,40857,30250,21848,4835,70,2.00,9,9,5000.0,1500,9,999999999,12,0.0850,0,88,0.110,0.0,0.0
2013,1,1,13,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,15.00,1.90,41,101289,952,1415,336,381,306,172,45179,33682,23142,5730,34,1.00,1,1,9900.0,2269,9,999999999,12,0.0850,0,88,0.110,0.0,0.0
2013,1,1,14,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,15.00,1.20,39,101289,854,1415,341,423,364,180,47487,42250,22007,6678,130,2.00,1,1,9900.0,2233,9,999999999,11,0.0850,0,88,0.110,0.0,0.0
2013,1,1,15,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,15.40,2.20,41,101964,682,1415,322,426,468,147,43193,49530,17193,7398,40,1.00,9,9,9900.0,1500,9,999999999,12,0.0850,0,88,0.110,0.0,0.0
2013,1,1,16,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,15.00,1.20,39,101289,450,1415,320,347,494,109,31184,47337,12111,8017,60,2.00,1,1,9900.0,1987,9,999999999,11,0.0850,0,88,0.110,0.0,0.0
2013,1,1,17,30,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,16.00,2.10,39,101289,172,1415,308,219,425,79,16773,31480,7762,7256,100,2.00,1,1,9900.0,1988,9,999999999,12,0.0850,0,88,0.110,0.0,0.0
2013,1,1,18,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,14.40,4.10,50,101984,0,796,306,82,0,37,5594,9805,2900,3203,90,2.00,9,9,9900.0,1500,9,999999999,15,0.0850,0,88,0.110,0.0,0.0
2013,1,1,19,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,14.00,5.00,55,101289,0,0,310,8,0,5,428,0,273,95,100,2.00,5,5,8000.0,77777,9,999999999,16,0.0850,0,88,0.110,0.0,0.0
2013,1,1,20,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,14.00,5.00,55,101289,0,0,304,0,0,0,0,0,0,0,100,2.00,5,5,8000.0,77777,9,999999999,16,0.0850,0,88,0.110,0.0,0.0
2013,1,1,21,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,13.60,6.50,62,102054,0,0,302,0,0,0,0,0,0,0,90,2.00,9,9,8000.0,1500,9,999999999,19,0.0850,0,88,0.110,0.0,0.0
2013,1,1,22,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,13.00,8.10,72,101289,0,0,312,0,0,0,0,0,0,0,110,2.00,0,0,7000.0,77777,9,999999999,22,0.0850,0,88,0.110,0.0,0.0
2013,1,1,23,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,13.00,9.10,77,101289,0,0,309,0,0,0,0,0,0,0,61,1.00,0,0,6000.0,77777,9,999999999,24,0.0850,0,88,0.110,0.0,0.0
2013,1,1,24,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,13.40,6.70,64,102064,0,0,302,0,0,0,0,0,0,0,70,1.00,9,9,6000.0,1500,9,999999999,19,0.0850,0,88,0.110,0.0,0.0
2013,1,2,1,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,11.00,9.00,87,101289,0,0,312,0,0,0,0,0,0,0,47,0.00,0,0,6000.0,77777,9,999999999,24,0.0840,0,88,0.110,0.0,0.0
2013,1,2,2,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,11.00,9.00,87,101289,0,0,301,0,0,0,0,0,0,0,330,2.00,0,0,5000.0,77777,9,999999999,24,0.0840,0,88,0.110,0.0,0.0
2013,1,2,3,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,10.40,8.30,87,101953,0,0,307,0,0,0,0,0,0,0,29,0.00,0,0,5000.0,77777,9,999999999,23,0.0840,0,88,0.110,0.0,0.0
2013,1,2,4,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,10.00,8.00,87,101288,0,0,296,0,0,0,0,0,0,0,19,1.00,9,9,5000.0,2100,9,999999999,22,0.0840,0,88,0.110,0.0,0.0
2013,1,2,5,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,11.00,9.00,87,101289,0,0,305,0,0,0,0,0,0,0,230,2.00,10,10,4800.0,1800,9,999999999,24,0.0840,0,88,0.110,0.0,0.0
