Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2015,1,1,1,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-9.80,-21.90,32,102474,0,0,167,0,0,0,0,0,0,0,327,4.30,0,0,777.7,77777,9,999999999,1,0.0850,0,88,0.150,0.0,0.0
2015,1,1,2,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-10.50,-21.80,35,102503,0,0,166,0,0,0,0,0,0,0,329,3.70,0,0,777.7,77777,9,999999999,1,0.0850,0,88,0.150,0.0,0.0
2015,1,1,3,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-11.20,-21.60,38,102533,0,0,166,0,0,0,0,0,0,0,360,3.00,0,0,777.7,240,9,999999999,1,0.0850,0,88,0.150,0.0,0.0
2015,1,1,4,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-11.50,-21.70,39,102559,0,0,166,0,0,0,0,0,0,0,332,3.30,0,1,777.7,77777,9,999999999,1,0.0850,0,88,0.150,0.0,0.0
2015,1,1,5,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-11.80,-21.80,39,102585,0,0,166,0,0,0,0,0,0,0,331,3.70,0,1,777.7,77777,9,999999999,1,0.0850,0,88,0.150,0.0,0.0
2015,1,1,6,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-12.10,-21.90,40,102612,0,0,166,0,0,0,0,0,0,0,340,4.00,0,1,777.7,240,9,999999999,1,0.0850,0,88,0.150,0.0,0.0
2015,1,1,7,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-9.20,-17.20,48,102571,0,0,166,0,0,0,0,0,0,0,329,4.30,0,2,777.7,77777,9,999999999,2,0.0850,0,88,0.150,0.0,0.0
2015,1,1,8,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-6.30,-16.20,45,102529,193,1167,166,0,0,0,0,0,0,0,331,4.70,0,2,777.7,77777,9,999999999,2,0.0850,0,88,0.150,0.0,0.0
2015,1,1,9,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-12.40,-21.90,41,102771,389,1415,168,109,456,38,18877,55777,7125,3363,360,3.00,0,0,777.7,77777,9,999999999,1,0.0850,0,88,0.150,0.0,0.0
2015,1,1,10,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-11.10,-21.90,36,102762,534,1415,166,249,649,68,32339,71407,10042,3918,334,3.70,0,0,777.7,77777,9,999999999,1,0.0850,0,88,0.150,0.0,0.0
