Year,Month,Day,Hour,Minute,DataSource,DryBulbTemperature,DewPointTemperature,RelativeHumidity,AtmosphericPressure,Extraterrestrial Horizontal Radiation,Extraterrestrial Direct Normal Radiation,Horizontal Infrared Radiation Intensity from Sky,GlobalHorizontalRadiation,DirectNormalRadiation,DiffuseHorizontalRadiation,GlobalHorizontalIlluminance,DirectNormalIlluminance,DiffuseHorizontalIlluminance,ZenithAngle,WindDirection,WindSpeed,Total Sky Cover,Opaque Sky Cover,Visibility,Ceiling Height,Present Weather Observation,Present Weather Codes,Precipitable Water,Aerosol Optical Depth,Snow Depth,Day Since Last Snow,Albedo,Liquid Preciptation Depth,Liquid Precipitation Quantity
2021,1,1,1,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-22.00,-31.90,40,87610,0,0,157,0,0,0,0,0,0,0,224,1.00,0,1,9900.0,77777,9,999999999,0,0.0850,0,88,0.180,0.0,0.0
2021,1,1,2,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-19.40,-26.20,51,89639,0,0,157,0,0,0,0,0,0,0,316,1.70,0,3,9900.0,77777,9,999999999,1,0.0850,0,88,0.180,0.0,0.0
2021,1,1,3,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-22.00,-31.10,43,87610,0,0,156,0,0,0,0,0,0,0,60,2.00,0,1,9900.0,77777,9,999999999,0,0.0850,0,88,0.180,0.0,0.0
2021,1,1,4,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-23.00,-30.90,48,87560,0,0,154,0,0,0,0,0,0,0,40,2.00,0,2,9900.0,77777,9,999999999,0,0.0850,0,88,0.180,0.0,0.0
2021,1,1,5,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-20.20,-26.70,53,89556,0,0,155,0,0,0,0,0,0,0,318,2.80,0,3,9900.0,77777,9,999999999,1,0.0850,0,88,0.180,0.0,0.0
2021,1,1,6,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-24.00,-28.00,67,87509,0,0,153,0,0,0,0,0,0,0,50,2.00,0,5,9900.0,77777,9,999999999,1,0.0850,0,88,0.180,0.0,0.0
2021,1,1,7,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-22.00,-26.00,67,87610,0,0,151,0,0,0,0,0,0,0,50,1.00,0,5,9900.0,77777,9,999999999,1,0.0850,0,88,0.180,0.0,0.0
2021,1,1,8,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-19.90,-26.50,52,89701,0,0,150,0,0,0,0,0,0,0,323,2.70,0,3,9900.0,77777,9,999999999,1,0.0850,0,88,0.180,0.0,0.0
2021,1,1,9,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-19.00,-24.00,62,87758,212,1324,151,120,463,42,19965,56813,7478,4644,260,1.00,0,4,9900.0,77777,9,999999999,1,0.0850,0,88,0.180,0.0,0.0
2021,1,1,10,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-15.00,-23.00,47,87951,399,1415,154,259,662,70,33101,72341,10108,4812,60,2.00,0,0,8000.0,77777,9,999999999,1,0.0850,0,88,0.180,0.0,0.0
2021,1,1,11,30,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,-12.50,-21.20,48,89960,534,1415,157,372,771,83,42446,80144,11372,4478,119,1.80,0,0,8000.0,77777,9,999999999,1,0.0850,0,88,0.180,0.0,0.0
2021,1,1,12,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-11.00,-21.00,39,88139,608,1415,161,437,817,89,46226,82694,11848,4349,220,2.00,0,1,9900.0,77777,9,999999999,1,0.0850,0,88,0.180,0.0,0.0
2021,1,1,13,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-9.00,-19.00,40,88231,616,1415,163,444,821,89,43916,81103,11582,4462,248,2.00,0,1,9900.0,77777,9,999999999,1,0.0850,0,88,0.180,0.0,0.0
2021,1,1,14,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-8.70,-20.80,33,89930,557,1415,165,393,785,85,35753,74690,10507,4744,178,2.20,0,0,9900.0,77777,9,999999999,1,0.0850,0,88,0.180,0.0,0.0
2021,1,1,15,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-7.00,-18.00,37,88322,435,1415,167,289,694,74,23202,60903,8297,4811,258,1.00,0,0,9900.0,77777,9,999999999,2,0.0850,0,88,0.180,0.0,0.0
2021,1,1,16,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-7.00,-18.00,37,88322,260,1415,167,152,512,51,10256,35754,4696,3617,240,2.00,0,0,9900.0,77777,9,999999999,2,0.0850,0,88,0.180,0.0,0.0
2021,1,1,17,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9*9?9*9*9?9*9,-9.50,-20.10,38,89971,42,1415,166,40,196,18,2227,9898,1314,1279,293,1.60,0,0,9900.0,77777,9,999999999,1,0.0850,0,88,0.180,0.0,0.0
2021,1,1,18,30,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9*9*9?9*9,-10.00,-19.00,44,88185,0,239,163,1,0,1,27,0,27,10,70,2.00,0,1,9900.0,77777,9,999999999,1,0.0850,0,88,0.180,0.0,0.0
